Time,Title,Content,Url
2019/5/31, 巴西第1季GDP較前季萎縮0.2%，2016來首見衰退 ,"週四(30日)公布的最新數據顯示，南美洲最大經濟體巴西2019年第1季(1-3月)經濟成長率為負0.2%，為2016年底以來首次呈現負成長，讓有「巴西川普」之稱的巴西總統波索納洛(Jair Bolsonaro)面臨嚴峻考驗。法新社、路透社等外媒報導，根據巴西國家地理與統計局(IBGE)數據，巴西第1季國內生產毛額(GDP)比第4季萎縮0.2%，與路透訪調的分析師預估中值一致，相比去年同期則成長0.5%。聖保羅XP資產管理公司首席經濟學家Isabela Guarino表示，第2季至目前為止，巴西尚未出現經濟復甦的跡象。她預測巴西本季(4-6月)經濟成長率僅為0.1%，並提到，巴西經濟存在非常明顯的萎縮風險，將使該國陷入技術性衰退(即GDP連續兩季出現下跌)，這並非絕對，但風險正在上升。巴西在2015、2016年遭遇嚴重經濟衰退，直到2017年才擺脫連續兩年的負成長。巴西極右派新總統波索納洛2018年10月在人民和商界期待下風光上任，他誓言重振巴西經濟，但依舊難以回天。報導指出，波索納洛上台後推動年金改革，這項被視為修補國家財政體質的重要法案，一直卡在國會無法過關，另外失業率也居高不下，失業總人數超過1,300萬人。巴西經濟放緩，讓央行面臨降息壓力，目前該國利率已處於6.5%的歷史新低。巴西經濟部長蓋德斯Paulo Guedes最近警告，巴西經濟正「位於井底」，他同時將2019全年經濟成長預測從2.2%下修至1.5%。巴西經濟復甦緩慢，原因之一是龐大的公共債務拖垮經濟成長。據國際貨幣基金組織(IMF)估計，巴西公共債務占GDP的比重高達88%，反映控制公共債務是巴西政府的當務之急。另方面，全球最大鐵礦石生產和出口商巴西淡水河谷公司(Vale S.A.)今年1月發生礦壩潰堤事故，該公司多個礦區被迫停止挖礦，鐵礦石產量大減，衝擊巴西鐵礦石出口量降至新低。嘉實XQ全球贏家系統報價顯示，巴西股市30日終場上揚0.92%、收97,457.36點，今年迄今累計上漲10.89%。＊編者按：本文僅供參考之用，並不構成要約、招攬或邀請、誘使、任何不論種類或形式之申述或訂立任何建議及推薦，讀者務請運用個人獨立思考能力，自行作出投資決定，如因相關建議招致損失，概與《精實財經媒體》、編者及作者無涉。MoneyDJ 新聞 2019-05-31 12:44:32 記者李彥瑾 報導",https://blog.moneydj.com/news/2019/05/31/%e5%b7%b4%e8%a5%bf%e7%ac%ac1%e5%ad%a3gdp%e8%bc%83%e5%89%8d%e5%ad%a3%e8%90%8e%e7%b8%ae0-2%ef%bc%8c2016%e4%be%86%e9%a6%96%e8%a6%8b%e8%a1%b0%e9%80%80/
2019/5/27, 巴西出口減少中國需求強勁 投行上調鐵礦石均價預估 ,"普氏能源資訊5月24日報導，在鐵礦石價格突破每噸100美元之後，各大銀行紛紛上調了今年鐵礦石平均價格的預估。加拿大皇家銀行資本市場（RBC Capital Markets）將2019年鐵礦石均價預估上調24%至每噸82美元，因過去5個月來鐵礦石價格已經大幅上揚，主要由於中國需求強勁以及巴西出口減少的影響。該行預估，今年鐵礦石市場可能會出現8,300萬噸的供給缺口，2020年則預期有5,500萬噸的供給剩餘，該行也預估2020年鐵礦石平均價格將會降至每噸65美元。 鐵礦砂龍頭巴西淡水河谷（Vale SA）今年一月發生致命的尾礦壩潰堤事件之後造成供應量大減，巴西4月鐵礦石出口量降至紀錄新低的1,115萬噸，較前月以及去年同期分別減少50%與57%，1-4月的出口量合計年減13%至9,542萬噸；而中國大陸4月份粗鋼產量換算年率超過10億噸，1-4月產量年增10%達到3.146億噸，顯示大陸的需求仍然強勁，因此持續推高鐵礦石的價格。 高盛（Goldman Sachs）則是將今年鐵礦石均價預估上調12%至每噸91美元，稱淡水河谷在發生礦難之後產量驟減，而中國大陸的需求則持續攀升。澳洲聯邦銀行（Commonwealth Bank of Australia）也將今年鐵礦石均價預估上調7%至每噸92美元，稱港口的鐵礦石庫存快速下滑。澳洲國民銀行（National Australia Bank）則是將今年的鐵礦石均價預估上調5%至每噸86美元，並預估2020年的鐵礦石均價將為每噸72美元；該行稱鐵礦石供應的恢復仍有很大的不確定性，淡水河谷稱約半數關閉的產能可以在一年內恢復，但其他部分有可能將關閉2-3年。 倫敦研究公司Red Door Research創辦人Jim Lennon表示，鐵礦石價格有可能將維持在三位數一段時間，因中國鋼鐵產量增加就意味著需要進口更多的鐵礦石，而巴西礦難之後關閉許多不安全的礦場，鐵礦石產量大幅減少，供不應求就代表著價格將會走高。Lennon表示，中國大陸今年粗鋼產量預估將較去年的9.27億噸增加5,000萬噸，足以為鐵礦石價格的上漲提供支撐。 惠譽集團旗下信用市場數據、分析工具和風險服務供應商惠譽解決方案（Fitch Solutions）最新報告將2019年的平均鎳價預估從每噸14,500美元下調至13,250美元，稱中美貿易爭端以及全球經濟的風險導致中國不鏽鋼產業的需求減少。報告指出，今年前兩個月大陸不鏽鋼產量年減3.9%，精煉鎳的進口量更大減30%。不過，報告認為，下半年鎳價仍有上漲潛力，因中國政府預期將為國內產業提供政策支持；而未來幾年鎳價也可望逐步復甦，因鎳市預計將供給短缺的影響。 ＊編者按：本文僅供參考之用，並不構成要約、招攬或邀請、誘使、任何不論種類或形式之申述或訂立任何建議及推薦，讀者務請運用個人獨立思考能力，自行作出投資決定，如因相關建議招致損失，概與《精實財經媒體》、編者及作者無涉。 MoneyDJ 新聞 2019-05-27 11:08:49 記者黃文章 報導",https://blog.moneydj.com/news/2019/05/27/%e5%b7%b4%e8%a5%bf%e5%87%ba%e5%8f%a3%e6%b8%9b%e5%b0%91%e4%b8%ad%e5%9c%8b%e9%9c%80%e6%b1%82%e5%bc%b7%e5%8b%81-%e6%8a%95%e8%a1%8c%e4%b8%8a%e8%aa%bf%e9%90%b5%e7%a4%a6%e7%9f%b3%e5%9d%87%e5%83%b9%e9%a0%90/
2019/4/29, 《農產品》巴西產量豐收 CBOT黃豆下跌0.7% ,"芝加哥期貨交易所（CBOT）小麥與玉米期貨4月26日上漲，黃豆則是下跌，因巴西產量有望創下史上次高，且對中美貿易談判仍有擔憂的影響。7月玉米期貨收盤上漲1.1%成為每英斗3.6125美元，7月小麥上漲0.2%成為每英斗4.4250美元，7月黃豆下跌0.7%成為每英斗8.67美元。週線黃豆、小麥、玉米分別下跌3.1%、1.3%、1.6%。 美國洲際期貨交易所（ICE Futures U.S.）7月棉花期貨4月26日下跌0.8%成為每磅77.70美分，週線下跌0.7%；7月粗糖期貨下跌0.3%成為每磅12.65美分，週線下跌2.5%。 美國農業部公佈4月12日至4月18日的出口銷售數據顯示，2018/19年度的美國小麥出口簽約淨銷量為425,300公噸，較前週增加34%，較過去4週均值減少4%，銷售增加主要來自墨西哥（160,800公噸）與奈及利亞（80,900公噸）。2019/20年度小麥出口簽約淨銷量為226,200公噸，其中對阿爾及利亞與墨西哥分別銷售了90,000公噸與44,000公噸。 小麥當週出口裝船量為793,300公噸，較前週以及過去4週均值分別增加59%與65%，主要出口市場為埃及（115,000公噸）、奈及利亞（94,700公噸）、墨西哥（81,400公噸）、泰國（78,200公噸）與印尼（64,500公噸）。自去年6月起的本銷售年度以來，美國小麥出口累計年減4.5%至2,010萬噸，相比美國農業部本月將小麥年度出口量預估下調54萬噸至2,572萬噸；欲達成目標的話，未來8週每週需出口80萬噸小麥。 2018/19年度的美國玉米出口簽約淨銷量為779,900公噸，較前週減少18%，較過去4週均值增加6%，銷售增加主要來自日本（349,400公噸）與墨西哥（310,500公噸）。玉米當週出口裝船量為1,248,700公噸，較前週以及過去4週均值分別增加2%與13%，主要出口市場為墨西哥（445,300公噸）與日本（399,500公噸）。自去年9月起的本銷售年度以來，美國玉米出口年增14%至3,350萬噸。美國是最大的玉米出口國，美國農業部本月預估本年度全球玉米出口量為1.68億噸，其中美國佔5,842萬噸或35%，較前月的預估下調190萬噸。 2018/19年度，美國黃豆出口簽約淨銷量為596,300公噸，較前週增加57%，較過去4週均值減少15%，銷售增加主要來自中國大陸（212,100公噸），佔逾1/3比重。2019/20年度黃豆出口簽約淨銷量為22,700公噸，其中對墨西哥銷售16,000公噸。 黃豆當週出口裝船量為396,000公噸，較前週以及過去4週均值分別減少16%與48%，主要出口市場為墨西哥（160,000公噸）、中國大陸（67,100公噸）與日本（41,900公噸）。自去年9月起的本銷售年度（2018/19）以來，美國黃豆出口年減25.8%至3,176萬噸，相比美國農業部的年度出口量預估為5,100萬噸。 ＊編者按：本文僅供參考之用，並不構成要約、招攬或邀請、誘使、任何不論種類或形式之申述或訂立任何建議及推薦，讀者務請運用個人獨立思考能力，自行作出投資決定，如因相關建議招致損失，概與《精實財經媒體》、編者及作者無涉。 MoneyDJ 新聞 2019-04-29 07:10:36 記者黃文章     報導",https://blog.moneydj.com/news/2019/04/29/%e3%80%8a%e8%be%b2%e7%94%a2%e5%93%81%e3%80%8b%e5%b7%b4%e8%a5%bf%e7%94%a2%e9%87%8f%e8%b1%90%e6%94%b6-cbot%e9%bb%83%e8%b1%86%e4%b8%8b%e8%b7%8c0-7/
2019/4/24, 巴西股匯雙漲！年改通過首個關鍵測試、國會確認未違憲 ,"巴西政府鼓吹許久的年金改革法案，終於在週二(4月23日)稍晚通過第一個關鍵測試，國會小組透過投票認定，該法案並未違憲、可以進入下一個國會審核程序。巴西股匯在投票展開前就雙雙跳漲。嘉實XQ全球贏家系統報價顯示，巴西股市23日終場勁揚1.41%、收95,923.24點。美元兌八西里爾23日尾盤則貶值0.48%至3.9149。英國金融時報、路透社報導，巴西憲法暨法規事務委員會(Constitutional and Legal Affairs Committee, CCJ)週二晚間投票，通過了修正過後的年改法案。最新發展對巴西總統波索納洛(Jair Bolsonaro)及經濟部長葛德斯(Paulo Guedes)來說，可說是打了一場勝仗。巴西經濟搖搖欲墜，人們普遍認為，年改是穩定經濟、鼓勵國內外投資的必要手段。葛德斯帶頭推動年金改革，他希望該法案能削減高達1兆里爾(相當於2,550億美元)的年金給付，減輕財政困境。巴西各界也在觀察，波索納洛政府能否順利讓年改通關，以此檢視其他經濟法案(例如國企民營化、鬆綁法規等)有沒有機會獲得推動。巴西經濟部23日公布的最新報告顯示，2018年巴西公共部門的結構性赤字對GDP佔比，已從2017年的0.5%擴大至0.7%。＊編者按：本文僅供參考之用，並不構成要約、招攬或邀請、誘使、任何不論種類或形式之申述或訂立任何建議及推薦，讀者務請運用個人獨立思考能力，自行作出投資決定，如因相關建議招致損失，概與《精實財經媒體》、編者及作者無涉。MoneyDJ 新聞 2019-04-24 14:09:42 記者郭妍希 報導",https://blog.moneydj.com/news/2019/04/24/%e5%b7%b4%e8%a5%bf%e8%82%a1%e5%8c%af%e9%9b%99%e6%bc%b2%ef%bc%81%e5%b9%b4%e6%94%b9%e9%80%9a%e9%81%8e%e9%a6%96%e5%80%8b%e9%97%9c%e9%8d%b5%e6%b8%ac%e8%a9%a6%e3%80%81%e5%9c%8b%e6%9c%83%e7%a2%ba%e8%aa%8d/
2019/4/23, 咖啡豆報價跌逾10年低！巴西產量增、里爾貶 考慮賣權 ,雖然咖啡飲品日益受到全球歡迎，咖啡豆報價卻從去(2018)年10月起一路走軟，如今已下挫25%、來到超過10年低。華爾街日報22日報導，根據洲際交易所集團(Intercontinental Exchange)的報價，自3月初以來，阿拉比卡(Arabica)咖啡豆紐約批發價每磅已剩下不到1美元，跌破生產商的種植及處理成本。相較之下，一杯拿鐵普遍仍要價5美元。咖啡產量大增，再加上最大生產國──巴西的貨幣重貶，是導致咖啡供給過剩的主因。巴西政府直接出手贊助咖啡產業的研發活動(例如把機械採收導入農田，比其他仍使用手摘方式的種植商更有效率)，奪走了中美洲生產國的市佔率。巴西里爾重挫，讓當地生產的咖啡豆更具價格競爭優勢。嘉實XQ全球贏家系統報價顯示，美元兌里爾22日尾盤報3.9338，與2011年1月初的1.6475相較，升幅接近140%。過去一年以來，美元兌里爾已升值15.38%。巴西政府為了提振跌至13年低點的咖啡豆價格、並保障農民收入，傳出考慮為生產商提供賣權。路透社4月5日引述未具名消息人士報導，若政策順利實施，生產商就可用固定價格把咖啡豆賣給政府，進而穩住報價。這可能會拉高巴西咖啡豆的售價、並鼓勵其他咖啡生產國跟進。巴西咖啡合作社一名主管表示，政府認為他們提出的建議相當不錯，這將創造雙贏，農民能讓作物賣個好價錢，政府則可在報價上揚後從中獲利。＊編者按：本文僅供參考之用，並不構成要約、招攬或邀請、誘使、任何不論種類或形式之申述或訂立任何建議及推薦，讀者務請運用個人獨立思考能力，自行作出投資決定，如因相關建議招致損失，概與《精實財經媒體》、編者及作者無涉。MoneyDJ 新聞 2019-04-23 14:56:35 記者郭妍希 報導,https://blog.moneydj.com/news/2019/04/23/%e5%92%96%e5%95%a1%e8%b1%86%e5%a0%b1%e5%83%b9%e8%b7%8c%e9%80%be10%e5%b9%b4%e4%bd%8e%ef%bc%81%e5%b7%b4%e8%a5%bf%e7%94%a2%e9%87%8f%e5%a2%9e%e3%80%81%e9%87%8c%e7%88%be%e8%b2%b6-%e8%80%83%e6%85%ae/
2019/4/12, 《農產品》巴西上調黃豆產量預估 CBOT黃豆收低 ,"芝加哥期貨交易所（CBOT）小麥期貨4月11日上漲，玉米與黃豆則是下跌，因出口銷售數據皮握且巴西上調黃豆產量預估。5月玉米期貨收盤下跌0.5%成為每英斗3.60美元，5月小麥上漲0.6%成為每英斗4.6050美元，5月黃豆下跌0.8%成為每英斗8.9525美元。巴西農業部將黃豆產量預估從1.135億噸上調30萬噸至1.138億噸。 美國洲際期貨交易所（ICE Futures U.S.）5月棉花期貨4月11日下跌0.9%成為每磅77.74美分，5月粗糖期貨上漲0.1%成為每磅12.82美分。 巴西甘蔗產業協會（UNICA）公布的數據顯示，截至3月底的2018/19年度，巴西中南部地區的甘蔗壓榨量較上年度的5.9633億噸減少3.9%至5.7307億噸，糖產量則是大減26.5%至2,650萬噸，因有更多的甘蔗壓榨用於生產乙醇的影響。2018/19年度，巴西中南部地區的乙醇產量年增18.6%至309.5億公升，用於添加至汽油當中的無水乙醇產量年減12.3%至91.41億公升，可作為獨立汽車燃料的水合乙醇產量則是年增39.2%至218億公升。 2018/19年度，巴西中南部地區的甘蔗壓榨只有約35.2%是用於產糖，其餘的64.8%都是用於生產乙醇，乙醇用蔗比較上年度提高了11.26個百分點。UNICA技術總監羅德里格斯（Antonio Rodrigues）表示，甘蔗壓榨用途的轉變顯示了巴西糖與乙醇產業的高度發展，如今巴西的甘蔗壓榨廠不會再因為其他產糖國家的糖產量增加而遭受損失，壓榨廠可以迅速轉換至利潤更高的乙醇生產上面。 美國能源部數據顯示，截至4月5日當週，乙醇日均產量為100.2萬桶，較前週增加0.3%，較去年同期減少3.1%，估計用於生產乙醇的玉米使用量為1.0521億英斗。美國農業部9日報告甫將截至8月底的2018/19年度乙醇玉米的使用量下調5,000萬英斗至55億英斗，相比截至目前的用量為33.4億英斗。 作為需求的指標，美國當週乙醇摻混日均淨投入量較前週增加10,000桶或1.1%至91.9萬桶，佔汽油需求的9.37%。過去四週，美國乙醇摻混日均淨投入量為91.4萬桶。美國當週汽油日均需求由前週的913.1萬桶增至980.6萬桶；過去4週，美國汽油日均需求為936.8萬桶。 4月5日當週美國乙醇庫存量較前週減少80萬桶至2,320萬桶。其中，東岸地區的庫存量較前週減少40萬桶至750萬桶，中西部地區的乙醇庫存量較前週減少40萬桶至890萬桶，墨西哥灣區的乙醇庫存較前週增加20萬桶至450萬桶，落磯山脈地區的庫存較前週持平為30萬桶，西岸地區的庫存較前週減少10萬桶至200萬桶。 ＊編者按：本文僅供參考之用，並不構成要約、招攬或邀請、誘使、任何不論種類或形式之申述或訂立任何建議及推薦，讀者務請運用個人獨立思考能力，自行作出投資決定，如因相關建議招致損失，概與《精實財經媒體》、編者及作者無涉。 MoneyDJ 新聞 2019-04-12 07:20:09 記者黃文章     報導",https://blog.moneydj.com/news/2019/04/12/%e3%80%8a%e8%be%b2%e7%94%a2%e5%93%81%e3%80%8b%e5%b7%b4%e8%a5%bf%e4%b8%8a%e8%aa%bf%e9%bb%83%e8%b1%86%e7%94%a2%e9%87%8f%e9%a0%90%e4%bc%b0-cbot%e9%bb%83%e8%b1%86%e6%94%b6%e4%bd%8e/
2019/4/9, 兩大出口國巴西與澳洲供應受擾 鐵礦石價格創5年新高 ,"《Business Insider Australia》4月9日報導，在預期巴西與澳洲供應將收緊的影響下，鐵礦石價格創下五年新高。根據Metal Bulletin的數據，週一現貨鐵礦石價格上漲2.6%來到每噸95.30美元，創下2014年8月以來的新高。自去年11月以來，鐵礦石價格已經大漲將近五成（48%）。CRU Group分析師Richard Lu表示，天氣溫暖之後也帶動中國大陸的建築活動升溫，鐵礦石的季節性需求攀升；反觀兩大海運鐵礦石出口國巴西與澳洲的供應則是受到干擾，因此造成鐵礦石價格的上漲。 大陸近期的經濟數據回溫，有利於帶動需求。3月份，大陸官方製造業PMI為50.5，重回榮枯線上方，創6個月的新高。中國大陸總體經濟的預期轉好，對大宗商品市場形成支撐。政策的激勵也提振對未來需求增長的預期，中國國家發展改革委發佈2019年新型城鎮化建設重點任務，中國國務院則公佈關於促進中小企業健康發展的指導意見，將完善中小企業融資政策，進一步落實普惠金融定向降准政策。 在供應面的部分，澳大利亞的熱帶氣旋Veronica造成兩大礦山預期減產，而鐵礦砂龍頭淡水河谷（Vale SA）尾礦壩潰堤的礦難發生後，負面影響已經開始顯現。3月，巴西鐵礦石出口量為2,218萬噸，創6年來的最低水平，較前月以及去年同期分別減少23%與26%，較1月份的3,316萬噸大減1,100萬噸。今年以來，巴西和澳大利亞的鐵礦石發貨量明顯下降，兩地發貨量合計約2.54億噸，較2018年同期減少約300萬噸。 澳洲聯邦銀行（Commonwealth Bank）礦產與能源商品分析師達哈爾（Vivek Dhar）表示，預期鐵礦石價格短期內可能會維持在每噸90美元以上價位，主要是受到市場的供應收緊的影響，特別是淡水河谷的礦難所造成的影響現在只是剛剛開始顯現；但預期這些影響逐漸消化之後，鐵礦石價格年底可能回落至每噸85美元左右。當然，短期鐵礦石價格仍將維持在上升軌道上面，因供應面仍然有很多的不確定性。 2018年，淡水河谷鐵礦石銷量年增6.5%至3.07億噸，球團礦銷量年增9.3%至5,660萬噸；鐵礦石平均價格從上年度的每噸88美元上漲至90.4美元，球團礦平均價格從上年度的每噸109.2美元上漲至117.5美元。該公司鐵礦石與球團礦有七成銷往亞洲，其中對中國大陸銷售2.03億噸，佔了56%比重。淡水河谷表示，由於公司在今年一月致命的尾礦壩潰堤災難之後關閉了多處有安全疑慮的礦場，預計今年鐵礦石產量的損失將達到9,280萬噸。該公司原先設定的2019年鐵礦石產量目標為4億噸。 ＊編者按：本文僅供參考之用，並不構成要約、招攬或邀請、誘使、任何不論種類或形式之申述或訂立任何建議及推薦，讀者務請運用個人獨立思考能力，自行作出投資決定，如因相關建議招致損失，概與《精實財經媒體》、編者及作者無涉。 MoneyDJ 新聞 2019-04-09 14:28:16 記者黃文章 報導",https://blog.moneydj.com/news/2019/04/09/%e5%85%a9%e5%a4%a7%e5%87%ba%e5%8f%a3%e5%9c%8b%e5%b7%b4%e8%a5%bf%e8%88%87%e6%be%b3%e6%b4%b2%e4%be%9b%e6%87%89%e5%8f%97%e6%93%be-%e9%90%b5%e7%a4%a6%e7%9f%b3%e5%83%b9%e6%a0%bc%e5%89%b55%e5%b9%b4%e6%96%b0/
2019/3/28, 巴西股匯雙殺！總統挨批沒執政能力、經濟部長揚言辭職 ,"巴西總統波索納洛(Jair Bolsonaro，見圖左)才上任86天就陷入天大麻煩，選民、投資人和部分支持者已開始質疑，這位64歲的前陸軍上尉能否兌現重啟經濟動能、打擊犯罪並改革年金系統的承諾。波索納洛的民調支持度不但直直落、還激怒了重要盟友，他的內閣則陷入內鬥，備受市場信賴的經濟部長Paulo Guedes甚至揚言辭職。巴西股市在觸及10萬點的歷史新高紀錄後，已經連日重挫。嘉實XQ全球贏家系統報價顯示，Bovespa指數27日慘跌3.57%、收91,903.40點，創1月7日以來收盤低；跟3月19日的歷史盤中高(100,438.87點)相比重挫了8.5%。美元兌巴西里爾27日尾盤同步跳升2.59%至3.9735、創2018年10月2日以來新高。路透社、MercoPress等外電報導，Guedes警告，倘若總統或國會不願聽從他的政策建議，他將掛冠求去。Guedes 27日對參議院經濟事務委員會(Senate Economic Affairs Committee)表示，若他深信能幫助巴西的政策能獲得總統及眾議院的支持、他就會留下，否則他就要走人。在Guedes出席這場備受爭議的參議院聽證會時，巴西里爾應聲重貶。巴西央行在收盤後介入阻貶，宣布要在28日於現貨市場標售10億美元的附買回協議。Guedes並未參加26日於國會舉行的年改方案聽證會，而由11個政黨組成的聯盟，則要求移除方案中會影響農民、銀髮族及身障人士的改革條款。波索納洛27日重申，社會安全系統問題重重，若無法順利改革，國家恐因此破產。支持波索納洛的選民，原本希望他能終結巴西多年來的貪腐和暴力問題，重啟經濟動能，但波索納洛的內閣執政經驗不足、甚至陷入內鬥。閣員們不但公開爭權奪利、極右翼人士跟溫和主義者也相互衝突，而總統本人則不斷集會演說、尋求民眾支持，甚至以挑釁的推文和影片激怒對手，好似他仍在競選。根據上週出版的最新民調，波索納洛的支持度已經掉了16%。＊編者按：本文僅供參考之用，並不構成要約、招攬或邀請、誘使、任何不論種類或形式之申述或訂立任何建議及推薦，讀者務請運用個人獨立思考能力，自行作出投資決定，如因相關建議招致損失，概與《精實財經媒體》、編者及作者無涉。MoneyDJ 新聞 2019-03-28 12:53:01 記者郭妍希 報導",https://blog.moneydj.com/news/2019/03/28/%e5%b7%b4%e8%a5%bf%e8%82%a1%e5%8c%af%e9%9b%99%e6%ae%ba%ef%bc%81%e7%b8%bd%e7%b5%b1%e6%8c%a8%e6%89%b9%e6%b2%92%e5%9f%b7%e6%94%bf%e8%83%bd%e5%8a%9b%e3%80%81%e7%b6%93%e6%bf%9f%e9%83%a8%e9%95%b7%e6%8f%9a/
2019/3/25, 巴西新年度糖產量估年增7.7% 乙醇產量估年減4.6% ,"普氏能源資訊3月22日報導，根據該社的調查，自4月起的2019/20年度，巴西中南部地區用於產糖的甘蔗壓榨量可望佔到38.3%的比重，此低於前次調查所預估的38.92%，但較2018/19年度的產糖用蔗比預期將提高2.9個百分點，相比過去5年的產糖用蔗比平均為44%。巴西是全球最大糖出口國，中南部地區則佔全國糖產量的9成比重。 普氏的調查顯示，分析師預估2019/20年度巴西中南部地區的甘蔗壓榨量將年增0.8%至5,375億噸，但是鑒於乙醇的價格表現持續強勁，以及巴西國內燃料需求持續增長的影響，分析師預期未來會有更多的甘蔗是用於生產乙醇而不是糖。2019/20年度，巴西中南部地區的甘蔗含糖率預估為每公噸136.2公斤，略低於上年度的137.85公斤/公噸，糖產量則預估將年增7.7%至2,851萬噸。 普氏資深糖業分析師Claudiu Covrig表示，巴西糖產量的下滑也將壓縮到其出口的供應，反過來可能提振糖價。巴西的壓榨廠對此也相當清楚，因此有越來越多的壓榨廠產能可以在糖與乙醇的生產上切換，如果國際糖價走高，壓榨廠就能夠生產更多的糖供應出口。2019/20年度，巴西中南部地區的乙醇產量預估年減4.6%至284.6億公升，但與糖價的道理相同，如果汽油價格的展望更加的話，壓榨廠也會生產更多的乙醇。 巴西的乙醇燃料主要有含水乙醇與無水乙醇，含水乙醇可以單獨作為彈性燃料汽車的燃料，其售價被定為汽油價格的70%或以下；無水乙醇則用於添加至汽油當中，而巴西政府當前所定的乙醇添加比率為27%。 美國農業部3月22日表示，出口商報告對中國大陸銷售30萬噸的玉米，此創下5年半以來中國大陸對美國玉米的最大採購量。中國大陸並不是玉米的主要進口國，上一次大陸對美國玉米有較大採購是在2013年，當年度大陸採購超過360萬噸美國玉米；相比在週五的報告以前，本年度以來大陸只採購了166,328公噸的美國玉米。此前有消息報導稱，中國大陸可能向美國採購高達300萬噸的玉米。 美國玉米產地正遭遇洪水氾濫，受災區域涵蓋內布拉斯加州、密蘇里州、南達科他州、威斯康辛州，以及愛荷華州。內布拉斯加州州長聲稱，該州的農業損失已經達到10億美元；愛荷華州的弗里蒙特郡則預估有39萬英斗的倉儲黃豆以及120萬英斗的倉儲玉米被泡在水中。 ＊編者按：本文僅供參考之用，並不構成要約、招攬或邀請、誘使、任何不論種類或形式之申述或訂立任何建議及推薦，讀者務請運用個人獨立思考能力，自行作出投資決定，如因相關建議招致損失，概與《精實財經媒體》、編者及作者無涉。MoneyDJ 新聞 2019-03-25 11:06:55 記者黃文章 報導",https://blog.moneydj.com/news/2019/03/25/%e5%b7%b4%e8%a5%bf%e6%96%b0%e5%b9%b4%e5%ba%a6%e7%b3%96%e7%94%a2%e9%87%8f%e4%bc%b0%e5%b9%b4%e5%a2%9e7-7-%e4%b9%99%e9%86%87%e7%94%a2%e9%87%8f%e4%bc%b0%e5%b9%b4%e6%b8%9b4-6/
2019/3/22, 巴西股市觸10萬點後連3黑！前總統遭逮、年改遇變數 ,"巴西前總統特梅爾(Michel Temer)因涉貪遭逮、引發政治動盪疑慮，若政局再掀風暴，投資人擔心退休年金改革法案恐無法順利通過國會審核，才剛在本週一(3月18日)首度觸及10萬點整數關卡的巴西股市應聲下挫，已連續第3個交易日收黑。嘉實XQ全球贏家系統報價顯示，巴西Bovespa指數21日終場下挫1.34%、收96729.08點，創3月8日以來收盤低；盤中最多一度重挫2.64%至95,456.28點，跌破了50日移動平均線(96,361.12點)。iShares MSCI巴西ETF (The iShares MSCI Brazil ETF，代號為EWZ.US)21日同步下跌2.29%、收43美元；盤中最多一度重挫4.39%。巴西里爾同步走貶。根據XQ報價，美元兌里爾21日尾盤升值0.73%至3.8048；盤中最高升至3.8371、創3月15日以來盤中高。英國金融時報、路透社、華盛頓郵報等外電報導，特梅爾21日稍早在聖保羅的住處遭警方逮捕，成為司法機關2014年展開代號「洗車行動」(Operacao Lava Jato，英文為Operation Car Wash)的反貪腐調查以來，第二名被逮捕的前總統。洗車行動展開後，時任巴西總統的羅賽芙(Dilma Rousseff)因此被罷免下台，身為羅賽芙導師的前總統魯拉(Luiz Inacio Lula da Silva)，則在去(2018)年遭拘留並定罪，成為當時捲入醜聞的官員中，地位最高的政治人物。Necton首席經濟學家Andre Perfeito警告，特梅爾就逮，讓政治人物和反貪人員的緊繃關係火上加油，恐導致政局陷入動盪，進而令現任總統波索納洛(Jair Bolsonaro)的社會福利系統改革受到阻撓。特梅爾在羅賽芙被罷免後任職總統，2016~2018年就任期間，一直是貪腐調查的重點對象，但他因擁有豁免權而受保護，直到總統任期在1月1日結束為止。路透社甫於3月14日引述巴西當地媒體報導，波索納洛當時在首都巴西利亞對記者表示，相信國會兩院應能在今(2019)年上半投票通過他在2月20日提交的退休金改革方案。他相信，在野的勞工黨(Workers Party)也會對法案給予支持。波索納洛的退休改革法提高了男、女性的最低退休年齡，未來十年可省下約1.2兆里爾(相當於3,140億美元)的成本。經濟部社會保障和勞工廳祕書長Rogerio Marinho表示，法案預計5月底在下議院表決。巴西經濟部曾於2月宣布，退休金系統若維持原樣，恐讓經濟於明年下半年陷入嚴重衰退，進而使國內生產毛額(GDP)在2023年萎縮1.8%。＊編者按：本文僅供參考之用，並不構成要約、招攬或邀請、誘使、任何不論種類或形式之申述或訂立任何建議及推薦，讀者務請運用個人獨立思考能力，自行作出投資決定，如因相關建議招致損失，概與《精實財經媒體》、編者及作者無涉。MoneyDJ 新聞 2019-03-22 12:40:55 記者郭妍希 報導",https://blog.moneydj.com/news/2019/03/22/%e5%b7%b4%e8%a5%bf%e8%82%a1%e5%b8%82%e8%a7%b810%e8%90%ac%e9%bb%9e%e5%be%8c%e9%80%a33%e9%bb%91%ef%bc%81%e5%89%8d%e7%b8%bd%e7%b5%b1%e9%81%ad%e9%80%ae%e3%80%81%e5%b9%b4%e6%94%b9%e9%81%87%e8%ae%8a/
