date,EWJ,EWY,FNDF,VPL,DXJ,EWT,EWH,EPP,FNDC,DLS,JPIN,PXF,GSIE,EWA,IPAC,GWX,DWM,DFJ,HEWJ,DBJP,EWS,DOL,HFXI,PDN,IVLU,IDOG,DTH,DIM,DOO,SCJ,JPXN,ISCF,DEEF,JPN,IDHQ,DVYA,JPMV,HEWY,AUSE,KORU,DXJF,JPNL,JHDG,EWV,ZJPN,DBKO,HFXJ,EZJ,ISZE,SCIJ,HJPX,SCIX,FAUS,HAUD,FDT,ENZL,IDLB,FJP,IVAL,DXJS,IMOM,FPA,PAF,FDTS,DDBI,FHK,FKO
2015-12-31,49.12000,50.43000,23.90000,56.68000,50.80162,25.90000,19.90000,38.64000,26.60000,58.38938,49.17000,36.50000,24.49000,19.09000,48.11000,28.35614,46.94522,56.99120,28.66000,38.60000,20.66000,43.43666,18.21000,26.11000,22.00000,23.66820,38.06915,55.84548,38.38411,59.08000,53.16000,24.91000,24.78000,23.84000,20.12000,39.49000,57.51000,22.94000,45.22286,22.46000,26.39551,45.34000,24.83231,48.86000,65.27920,22.66000,18.87000,29.19000,23.19000,25.34000,25.98000,21.13000,27.09843,21.47000,46.62777,37.87000,24.60000,47.17734,24.11000,34.60039,25.50000,27.72003,1.07420,33.32379,24.76000,33.68294,22.89217
2016-01-04,48.32000,48.62000,23.31000,55.70000,49.54594,25.00000,19.49000,37.84000,26.13000,57.36537,48.39000,35.57000,23.88000,18.70000,47.29000,27.88566,45.74270,56.08345,28.02000,37.65000,20.16000,42.27267,17.76000,25.60000,21.53000,23.12070,37.06350,54.51239,37.38800,58.20000,52.24000,24.47000,24.25000,23.44000,19.66000,39.02000,56.59000,22.71000,44.50605,20.88000,25.81191,43.21000,24.17395,50.38000,64.19897,22.14000,18.48000,28.27000,22.67000,24.94000,25.35000,20.82000,26.80723,21.46000,45.77003,37.24000,24.06000,46.46168,23.66000,33.76041,24.90000,27.12008,1.08770,32.83398,24.36000,32.96744,22.28896
2016-01-05,48.20000,48.92000,23.24000,55.94000,49.22959,24.84000,19.49000,37.38000,26.01000,56.98747,48.43000,35.48000,23.81000,18.33000,47.02000,27.79532,45.56348,56.06191,28.28000,37.50000,20.14000,42.12428,17.75000,25.50000,21.48000,22.97000,36.89289,54.24659,37.25306,58.10000,52.11000,24.37000,24.15000,23.38000,19.59000,38.38000,56.62000,22.80000,43.60825,21.15000,25.78333,44.83000,24.08161,49.12000,64.08283,22.28000,18.42000,28.98000,22.58000,24.97000,25.56000,20.65000,26.45577,21.22000,45.69069,36.68000,24.01000,46.75015,23.61000,33.70988,24.74000,27.18426,1.12390,32.74746,24.31000,33.04432,22.54204
2016-01-06,47.84000,48.17000,22.96000,54.99000,48.63128,24.42000,19.30000,36.71000,25.76000,56.48895,47.78000,35.06000,23.59000,17.92000,46.55000,27.57077,45.10368,55.83429,27.65000,37.07000,19.80000,41.70139,17.56000,25.28000,21.26000,22.69280,36.51252,53.72688,36.94199,57.87000,51.81000,24.18000,23.95000,23.25000,19.45000,37.81000,56.49000,22.54000,42.55191,19.89000,25.38883,42.49000,23.80575,50.83000,63.74176,22.13000,18.25000,27.97000,22.36000,24.90000,25.23000,20.43000,25.76732,20.91000,45.36537,36.31000,23.81000,46.38360,23.23000,33.41889,24.63000,26.97436,1.11960,32.44690,23.95000,32.81005,22.39104
2016-01-07,47.04000,47.48000,22.56000,53.94000,47.40941,23.94000,18.87000,35.74000,25.39000,55.63412,47.04000,34.18000,23.23000,17.40000,45.64000,27.15526,44.35447,55.23320,27.00000,36.23000,19.30000,40.98485,17.24000,24.91000,20.89000,22.26800,35.87620,52.88670,36.38736,57.25000,50.92000,23.86000,23.62000,22.84000,19.20000,36.93000,56.04000,22.15000,41.30416,18.93000,24.81857,40.55000,23.28082,52.37000,62.77199,21.86000,17.89000,27.12000,22.03000,24.65000,24.49000,20.10000,24.85609,20.23000,44.41195,36.10000,23.50000,45.18920,22.72000,32.90100,24.49000,26.24077,1.12040,31.83621,23.57000,31.82209,22.02760
2016-01-08,46.88000,47.91000,22.35000,53.24000,47.14765,24.02000,18.80000,35.49000,25.23000,55.34557,46.61000,34.20000,23.08000,17.22000,45.41000,27.02136,44.04214,54.81650,26.38000,35.99000,19.40000,40.65696,17.11000,24.53000,20.72000,22.06620,35.61316,52.65139,36.22309,56.80000,50.72000,23.75000,23.52000,22.76000,18.89000,36.63000,55.71000,22.20000,40.98291,18.61000,24.51344,37.94000,23.12936,54.60000,62.54573,22.01000,17.80000,25.94667,21.92000,24.50000,24.02000,19.92000,24.68649,20.04000,43.86132,35.25000,23.12000,44.52822,22.62000,32.53623,24.34000,26.06824,1.10960,31.43709,23.25000,31.07373,22.10147
2016-01-11,47.00000,46.92000,22.22000,53.26000,47.13365,23.60000,18.35000,34.99000,25.07000,55.07542,46.53000,34.00000,22.93000,17.04000,45.31000,26.75767,43.73982,54.98768,26.63000,35.99000,19.18000,40.36018,17.01000,24.60000,20.64000,21.86440,35.33163,52.34684,35.94225,56.98000,50.88000,23.61000,23.44000,22.83000,19.00000,36.43000,55.89000,22.40000,40.61746,19.23000,24.50624,38.73000,23.12290,53.84000,62.74254,21.78000,17.82000,26.30667,21.79000,24.58000,24.14000,19.65000,24.75779,20.15000,43.89256,34.90000,23.26000,45.30190,22.55000,32.52797,24.11000,25.80799,1.11940,31.40465,23.23000,30.71454,21.85269
2016-01-12,45.36000,46.85000,22.08000,53.05000,45.71657,23.60000,18.26000,34.84000,24.68000,54.53273,46.60000,33.78000,22.85000,16.99000,44.13000,26.34510,43.58614,52.98636,26.49000,34.86000,19.00000,40.28090,16.96000,24.24000,20.37000,21.78490,35.31981,51.98899,35.85890,54.86000,49.05000,23.28000,23.21000,22.00000,18.78000,36.16000,54.10000,22.43000,40.26374,19.06000,23.58670,38.12000,22.48955,54.40000,60.56766,21.75000,17.23000,26.03333,21.66000,23.71000,24.17000,19.60000,24.83279,20.26000,43.74948,34.84000,23.01000,44.26822,22.25000,31.49799,23.78000,25.89683,1.09800,30.99421,23.36000,30.71179,21.94516
2016-01-13,46.48000,47.74000,22.30000,52.68000,47.15457,23.78000,18.48000,35.30000,24.99000,55.19646,46.23000,33.60000,23.04000,17.25000,45.08000,26.64030,44.07410,54.32230,26.24000,35.89000,19.10000,40.73140,17.16000,24.23000,20.63000,22.00340,35.69646,52.54053,36.20848,56.22000,50.31000,23.53000,23.48000,22.56000,18.72000,36.68000,55.30000,22.37000,40.99061,18.90000,24.24740,37.12000,23.14526,55.34000,62.10507,22.04000,17.70000,25.57333,21.84000,24.23000,24.03000,19.78000,24.28495,19.99000,43.35721,35.24000,22.95000,44.00095,22.75000,32.40859,24.04000,25.68858,1.09360,30.79964,23.07000,30.14699,22.04435
2016-01-14,45.44000,46.95000,22.03000,53.12000,45.90986,23.48000,18.33000,34.68000,24.50000,54.07944,46.39000,33.64000,22.64000,16.89000,44.12000,26.17702,43.39577,53.19986,26.68000,34.99000,18.64000,40.19609,16.87000,24.08000,20.25000,21.68760,35.24543,51.43961,35.72978,55.10000,49.14000,23.00000,23.04000,22.04000,18.63000,35.99000,54.24000,22.56000,39.99094,19.51000,23.81199,38.49000,22.56517,53.98000,60.70907,21.86000,17.27000,26.20333,21.50000,23.73000,24.41000,19.45000,24.73116,20.33000,43.37098,34.50000,22.88000,44.02697,22.24000,31.66905,23.29000,25.96704,1.10460,30.70922,23.22000,30.51154,22.19764
2016-01-15,45.72000,46.41000,21.72000,51.55000,45.64877,23.54000,18.11000,34.23000,24.36000,53.66922,45.31000,33.17000,22.39000,16.64000,44.16000,25.94562,42.83636,53.75827,25.64000,34.83000,18.54000,39.62297,16.64000,23.72000,20.07000,21.22500,34.70291,50.92668,35.23234,55.53000,49.51000,22.78000,22.88000,22.20000,18.34000,36.05000,54.98000,21.75000,39.40184,17.02000,23.54369,35.26000,22.45197,56.98000,61.27326,21.59000,17.29000,24.74333,21.29000,24.03000,23.21000,19.30000,23.73989,19.65000,42.26237,34.75000,22.58000,43.12238,22.05000,31.63515,22.99000,25.30741,1.08450,29.89116,22.53000,29.67204,21.62660
2016-01-19,45.04000,47.00000,21.67000,52.02000,45.49953,23.66000,18.05000,34.36000,24.13000,53.15923,45.57000,33.08000,22.39000,16.74000,43.73000,25.69237,42.87497,52.73543,26.00000,34.59000,18.68000,39.74503,16.69000,23.71000,19.97000,21.40370,34.79638,50.80421,35.36588,54.47000,48.72000,22.55000,22.81000,21.84000,18.35000,35.89000,54.13000,22.22000,39.52372,18.50000,23.14085,36.11000,22.38429,56.06000,60.38909,21.74000,17.10000,25.14000,21.26000,23.59000,23.72000,19.36000,24.10168,19.91000,42.51982,34.76000,22.67000,43.37386,22.15000,31.30315,23.07000,25.49809,1.07800,30.02150,22.68000,29.79012,21.79123
2016-01-20,43.96000,45.59000,20.97000,50.63000,43.78962,23.10000,17.32000,33.32000,23.57000,51.84739,44.60000,32.12000,21.79000,16.33000,42.62000,25.11069,41.54448,51.70030,24.81000,33.24000,18.04000,38.45564,16.17000,23.14000,19.34000,20.75160,33.66170,49.36659,34.28755,53.37000,47.56000,21.99000,22.26000,21.31000,17.88000,35.15000,53.17000,21.60000,38.57926,16.77000,22.20061,31.97000,21.56741,60.34000,59.16565,21.25000,16.54000,23.22000,20.72000,23.13000,22.45000,18.97000,24.12783,19.86000,41.34212,34.12000,22.10000,42.04032,21.38000,30.21842,22.45000,25.02311,1.06120,29.20919,22.20000,28.95545,21.26051
2016-01-21,42.36000,45.46000,21.11000,50.22000,42.65463,22.92000,17.01000,33.51000,23.37000,51.58388,44.67000,32.12000,21.83000,16.63000,41.63000,24.91349,41.70029,49.79525,24.91000,32.34000,17.94000,38.68680,16.20000,22.94000,19.21000,21.12810,33.98129,49.27984,34.68319,51.51000,45.84000,21.80000,22.17000,20.54000,17.62000,35.16000,51.27000,21.76000,39.47367,17.45000,21.52241,31.61000,20.98054,60.78000,57.05698,21.18000,16.02000,23.04333,20.76000,22.32000,22.58000,18.93000,24.57171,19.94000,41.22301,34.33000,21.91000,41.15074,21.34000,29.37374,22.18000,24.86012,1.06780,29.09212,22.41000,28.12344,21.36804
2016-01-22,44.28000,46.98000,21.86000,52.13000,45.18903,23.38000,17.46000,34.30000,24.18000,53.15956,45.93000,33.24000,22.52000,17.00000,43.20000,25.72035,43.04830,51.81274,26.37000,34.25000,18.38000,39.96080,16.72000,23.73000,19.87000,21.67920,35.04441,50.81740,35.84928,53.52000,47.91000,22.47000,22.89000,21.47000,18.27000,35.93000,53.22000,22.27000,40.50664,19.00000,22.73025,35.91000,22.17252,55.26000,59.50693,21.62000,16.86000,25.14000,21.42000,23.19000,23.92000,19.26000,25.08855,20.30000,42.62443,34.82000,22.61000,43.30618,22.06000,30.96164,22.90000,25.62098,1.05130,30.14764,23.03000,28.79215,22.06007
2016-01-25,44.80000,47.54000,21.77000,51.58000,45.76266,23.88000,17.62000,34.62000,24.29000,53.52664,45.66000,33.11000,22.55000,17.20000,43.68000,25.88426,43.06348,52.71405,25.67000,34.65000,18.40000,39.93026,16.74000,23.89000,19.88000,21.72300,34.99928,50.88860,35.81804,54.43000,48.54000,22.72000,22.98000,21.75000,18.46000,36.26000,54.00000,22.04000,40.86087,18.23000,22.94915,33.61000,22.49645,57.61000,60.34095,21.76000,17.06000,24.06667,21.42000,23.54000,23.14000,19.39000,24.61447,20.15000,42.34677,35.02000,22.71000,42.76849,22.20000,31.52650,23.37000,25.44949,1.05320,30.04938,22.79000,28.71712,22.10001
2016-01-26,43.80000,46.48000,21.89000,51.99000,44.56461,23.56000,17.32000,34.50000,24.24000,53.41875,46.16000,33.21000,22.57000,17.27000,42.98000,25.78859,43.20179,51.68202,26.06000,33.82000,18.16000,40.11164,16.72000,23.98000,19.80000,21.92490,35.24935,50.88262,36.07805,53.46000,47.49000,22.61000,22.91000,21.29000,18.49000,36.23000,53.24000,22.20000,41.03331,18.74000,22.32928,34.98000,21.95557,56.04000,59.19812,21.48000,16.67000,24.72000,21.46000,23.15000,23.61000,19.29000,25.11821,20.35000,42.73460,34.84000,22.81000,43.15815,22.06000,30.85234,23.27000,25.51481,1.06130,30.28364,23.20000,28.68130,22.08310
2016-01-27,44.96000,47.31000,22.13000,51.93000,45.86137,23.70000,17.51000,34.44000,24.53000,53.82242,46.07000,33.58000,22.79000,17.15000,43.75000,26.02860,43.57346,52.96999,26.12000,34.86000,18.12000,40.45590,16.90000,24.07000,20.08000,21.98250,35.44487,51.34831,36.37604,54.82000,48.74000,22.86000,23.16000,21.85000,18.62000,36.06000,54.45000,22.20000,40.77215,18.34000,23.26689,35.07000,22.58890,55.94000,60.72504,21.82000,17.15000,24.76000,21.63000,23.74000,23.73000,19.34000,25.07061,20.10000,42.90659,34.94000,22.90000,43.54960,22.35000,31.71807,23.57000,25.57637,1.08730,30.40014,23.10000,28.44856,22.23047
2016-01-28,44.64000,47.19000,22.08000,52.16000,45.57523,23.88000,17.61000,34.80000,24.53000,53.93532,46.26000,33.45000,22.70000,17.37000,43.70000,26.05622,43.46686,52.91344,26.23000,34.59000,18.26000,40.32539,16.75000,24.10000,19.92000,22.07330,35.43366,51.30818,36.33896,54.72000,48.44000,22.81000,23.16000,21.71000,18.63000,36.10000,54.34000,22.43000,41.21698,18.89000,22.99504,35.25000,22.54092,55.74000,60.40053,21.89000,17.03000,24.84667,21.66000,23.71000,23.72000,19.41000,25.40695,20.26000,42.82041,34.80000,22.92000,43.23813,22.23000,31.67423,23.37000,25.74196,1.08950,30.20813,23.12000,28.50818,22.31925
2016-01-29,45.08000,47.68000,22.30000,53.39000,46.84762,24.70000,18.04000,35.24000,24.75000,54.18591,47.15000,34.08000,22.96000,17.46000,44.14000,26.26981,43.91640,53.28881,27.40000,35.68000,18.80000,40.76861,17.03000,24.56000,20.12000,22.32290,35.81158,51.83235,36.70609,55.29000,48.89000,22.91000,23.40000,21.89000,19.04000,36.30000,54.89000,22.66000,41.64209,19.47000,23.11014,37.78000,23.26875,53.06000,60.79124,21.93000,17.37000,26.04000,21.92000,23.94000,24.63000,19.58000,25.77964,20.57000,43.95298,34.90000,23.36000,44.99281,22.42000,32.59667,23.58000,26.39006,1.07850,30.94196,23.62000,29.38597,22.91993
