Country,Code,Year,Month, Gross Domestic Product (GDP), Consumer Price Index (CPI), Money supply (broad money), Mortgage credit interest rate, Business credit interest rate, Unemployment rate , Household consumption, Investment, Economic growth quarterly , Current account balance, Exports, Consumption growth, Investment growth, Budget balance, Inflation monthly, Exchange rate to USD, Minimum wage, Purchasing Managers Index (PMI) composite, Purchasing Managers Index (PMI) manufacturing, Purchasing Managers Index (PMI) services
Brazil, BRA, 2000, 1, , 1598.41, 269.83, , , , , , , -955.72, 4122.85, , , , 0.62, 1.8425, 136, , , 
Brazil, BRA, 2000, 2, , 1600.49, 261.49, , , , , , , -1200.94, 4842.53, , , , 0.13, 1.7795, 136, , , 
Brazil, BRA, 2000, 3, 276.93, 1604.01, 261.43, , , , 176.03, 56.89, 3.26, -1940.4, 5095.58, 6.75, 28.94, , 0.22, 1.7773, 136, , , 
Brazil, BRA, 2000, 4, , 1610.75, 259.79, , , , , , , -3011.76, 4753.89, , , , 0.42, 1.782, 151, , , 
Brazil, BRA, 2000, 5, , 1610.91, 259.85, , , , , , , -1639.09, 5774.48, , , , 0.01, 1.8276, 151, , , 
Brazil, BRA, 2000, 6, 292.79, 1614.62, 260.1, , , , 190, 53.91, 4.19, -2465.48, 5612.86, 11.6, 14.33, , 0.23, 1.8097, 151, , , 
Brazil, BRA, 2000, 7, , 1640.62, 262.67, , , , , , , -1364.4, 5677.17, , , , 1.61, 1.7972, 151, , , 
Brazil, BRA, 2000, 8, , 1662.11, 264.1, , , , , , , -1500.18, 6276.79, , , , 1.31, 1.8083, 151, , , 
Brazil, BRA, 2000, 9, 308.9, 1665.93, 264.76, , , , 200.01, 53.88, 4.28, -1662.1, 5978.55, 11.86, 16.16, , 0.23, 1.8377, 151, , , 
Brazil, BRA, 2000, 10, , 1668.26, 265.69, , , , , , , -3509.49, 5329.9, , , , 0.14, 1.8756, 151, , , 
Brazil, BRA, 2000, 11, , 1673.6, 271.62, , , , , , , -2576.36, 5069.51, , , , 0.32, 1.9466, 151, , , 
Brazil, BRA, 2000, 12, 320.48, 1683.47, 283.78, , , , 208.49, 54.81, 4.58, -2967.6, 5546.5, 9.98, 15.56, , 0.59, 1.9631, 151, , , 
Brazil, BRA, 2001, 1, , 1693.07, 276.5, , , , , , , -2347.07, 5374.44, , , , 0.57, 1.9569, 151, , , 
Brazil, BRA, 2001, 2, , 1700.86, 279.76, , , , , , , -1784.16, 4793.38, , , , 0.46, 2.0094, 151, , , 
Brazil, BRA, 2001, 3, 312.47, 1707.32, 278.38, , , , 203.37, 61.69, 4.04, -2643.57, 6000.4, 15.53, 8.44, , 0.38, 2.0933, 151, , , 
Brazil, BRA, 2001, 4, , 1717.22, 279.6, , , , , , , -2413.53, 5449.71, , , , 0.58, 2.1953, 180, , , 
Brazil, BRA, 2001, 5, , 1724.26, 283.48, , , , , , , -2259.56, 5980.25, , , , 0.41, 2.2926, 180, , , 
Brazil, BRA, 2001, 6, 323.72, 1733.23, 289.06, , , , 210.28, 62.07, 2.89, -2163.42, 5827.98, 10.68, 15.13, , 0.52, 2.3828, 180, , , 
Brazil, BRA, 2001, 7, , 1756.28, 290.47, , , , , , , -2073.18, 5614.58, , , , 1.33, 2.4673, 180, , , 
Brazil, BRA, 2001, 8, , 1768.57, 295.62, , , , , , , -1183.09, 6440.47, , , , 0.7, 2.5096, 180, , , 
Brazil, BRA, 2001, 9, 332.52, 1773.52, 296.57, , , , 211.49, 60.43, 1.38, -945.21, 5330.98, 5.74, 12.15, , 0.28, 2.6706, 180, , , 
Brazil, BRA, 2001, 10, , 1788.24, 295.9, , , , , , , -2481.54, 5700.6, , , , 0.83, 2.7401, 180, , , 
Brazil, BRA, 2001, 11, , 1800.94, 301.95, , , , , , , -1581.58, 5179.61, , , , 0.71, 2.5425, 180, , , 
