"Time","Title","Content","Url"
"2019-06-06"," 南非創8個月低！GDP嚴重衰退 執政黨內部激辯央行職權 ","在第一季國內生產毛額(GDP)陷入嚴重衰退、政府內部對央行的法定職權(mandate)激烈爭論的衝擊下，南非幣週三(6月5日)挫貶至8個月低、波動率更觸及接近兩個月高。嘉實XQ全球贏家系統報價顯示，美元兌南非幣5日尾盤升值1.48%至14.8595；盤中最高上升至14.9153、創2018年10月9日以來盤中高。路透社5日報導，南非幣的一個月隱含波動率跳升至14.65、創4月10日以來的新高紀錄。華爾街日報、每日電訊報等外電報導，南非6月4日公布的Q1 GDP成長年率大幅萎縮了3.2%，遠多於市場原先預估的年減1.6%，為自2009年以來最為嚴重的衰退現象。南非面臨自2008年以來最為嚴重的斷電問題，讓製造、採礦及農業大受打擊，而本季(4-6月)的工廠數據疲軟、更讓市場憂心經濟恐連續第二年陷入衰退。南非如今的失業率已超過27%，國營電力公司Eskom瀕臨破產則使全國持續面臨輪流斷電的困境，許多業者叫苦連天。受到斷電的影響，南非採礦業Q1產值年減10.8% (一座大型黃金礦場面臨長達5個月的罷工、也是原因之一)，製造業產值則年減8.8%。市場普遍預測，南非央行(SARB)將別無選擇，在7月降息一碼。遠期利率合約預測，SARB將在7月把指標利率調降25個基點，並於年底再度降息。就在GDP數據公布的一小時後，執政黨非國大秘書長Ace Magashule宣布，會試著將SARB目前只專注於穩定物價的法定職權擴大，把經濟及就業成長也納入職權。他並聲稱要探討寬鬆貨幣政策的可能性。然而，SARB的獨立性受到南非憲法保障，變更央行的法定職權，勢必會嚇到投資人，也會引發通膨飆漲的疑慮。SARB是全球少數幾個還有民間股東參與的央行，該行目前還無法認同非國大想將之國有化的作法。路透社報導，SARB總裁丹雅格(Lesetja Kganyago)5日說，央行專注於穩定物價的法定職權已經納入憲法，況且該行提振就業的能力也有限。目前非國大內部已分裂為兩派，一派是由較為激進的左翼及民粹人士組成，另一派則是效忠總統拉馬福薩(Cyril Ramaphosa)的溫和派人士。不過，隨著經濟日益惡化，拉馬福薩這一派，恐難以抵禦外界對央行採取積極貨幣刺激政策的期待。＊編者按：本文僅供參考之用，並不構成要約、招攬或邀請、誘使、任何不論種類或形式之申述或訂立任何建議及推薦，讀者務請運用個人獨立思考能力，自行作出投資決定，如因相關建議招致損失，概與《精實財經媒體》、編者及作者無涉。MoneyDJ 新聞 2019-06-06 11:17:00 記者郭妍希 報導","https://blog.moneydj.com/news/2019/06/06/%e5%8d%97%e9%9d%9e%e5%89%b58%e5%80%8b%e6%9c%88%e4%bd%8e%ef%bc%81gdp%e5%9a%b4%e9%87%8d%e8%a1%b0%e9%80%80-%e5%9f%b7%e6%94%bf%e9%bb%a8%e5%85%a7%e9%83%a8%e6%bf%80%e8%be%af%e5%a4%ae%e8%a1%8c%e8%81%b7/"
"2019-05-30"," 南非幣從8個月低點反彈！內閣名單公布、剔除貪腐官員 ","週二(5月28日)重貶逾2%的南非幣，在總統拉馬福薩(Cyril Ramaphosa)終於公布內閣名單的激勵下反彈。嘉實XQ全球贏家系統報價顯示，美元兌南非幣29日尾盤貶值0.46%至14.6481；盤中最高一度跳升1.2%至14.8923、創2018年10月9日以來盤中高。華爾街日報、衛報報導，拉馬福薩在29日公布的名單中，重新指派姆博維尼(Tito Mboweni)擔任財政部長、備受人們尊崇的戈登(Pravin Gordhan)則被指派為管理國有企業的部長。拉馬福薩計畫改革國企、根除貪腐問題，姆博維尼、戈登都是他的盟友。最新公布的內閣名單，有半數成員是女性，女性擔任內閣官員已成為非洲國家的新興趨勢。另外，閣員人數從先前的36人縮減至28人，當中剔除了數名涉入貪腐的官員，兌現拉馬福薩一年多前的承諾。然而，先前貪腐醜聞纏身的David Mabuza卻被指派為副總統，顯示拉馬福薩為了推動政策，不得不在政治上做出讓步。總統辦公室日前宣布，原本內閣名單將在26日或27日出爐，但因為拉馬福薩還需要一點時間考慮，因此名單會延後幾天釋出。即使執政黨非國大(ANC)在5月8日的全國大選贏得勝利，黨內仍嚴重分裂，究竟要選擇哪些內閣成員，成為一大難題。原本對此感到憂心的投資人，因內閣名單順利公布而鬆了一口氣。＊編者按：本文僅供參考之用，並不構成要約、招攬或邀請、誘使、任何不論種類或形式之申述或訂立任何建議及推薦，讀者務請運用個人獨立思考能力，自行作出投資決定，如因相關建議招致損失，概與《精實財經媒體》、編者及作者無涉。MoneyDJ 新聞 2019-05-30 09:27:17 記者郭妍希 報導","https://blog.moneydj.com/news/2019/05/30/%e5%8d%97%e9%9d%9e%e5%b9%a3%e5%be%9e8%e5%80%8b%e6%9c%88%e4%bd%8e%e9%bb%9e%e5%8f%8d%e5%bd%88%ef%bc%81%e5%85%a7%e9%96%a3%e5%90%8d%e5%96%ae%e5%85%ac%e5%b8%83%e3%80%81%e5%89%94%e9%99%a4%e8%b2%aa%e8%85%90/"
"2019-05-29"," 南非幣貶逾2%！新內閣延後公布、國營發電廠CEO請辭 ","南非總統拉馬福薩(Cyril Ramaphosa)的新內閣成員將延後至本週稍晚才公布，再加上國營電力公司Eskom執行長上週末請辭的利空消息逐漸發酵，南非幣在英國、美國投資人休假結束後，28日重貶逾2%、創下兩個月以來新低。嘉實XQ全球贏家系統報價顯示，美元兌南非幣28日尾盤跳漲2.03%至14.7163；盤中最高上升至14.7463、創3月28日以來盤中高。英、美金融市場27日分別因春季銀行假日(Spring Bank Holiday)、陣亡將士紀念日(Memorial Day)休市一天。執政黨內部分裂、新內閣恐難產Fin24、路透社等外電報導，拉馬福薩5月25日宣誓就職，五年的任期正式展開，接下來最重要的任務，就是指派內閣人選。根據總統辦公室的聲明，原本內閣成員將在26日或27日公布，但因為拉馬福薩還需要一點時間考慮，因此名單會延後幾天出爐。拉馬福薩15個月前就已入主總統府，當時貪腐嚴重的前總統祖馬(Jacob Zuma)遭執政黨非國大(ANC)強制下台。不過，即使非國大在5月8日的全國大選贏得勝利，黨內仍嚴重分裂，究竟要選擇哪些內閣成員，成為一大難題。負債累累的國營電力公司恐受嚴格檢視另一方面，Eskom執行長Phakamani Hadebe上週五(5月24日)則宣布，他會在7月底辭職下台，理由是「經營負債累累的發電廠需耗費極大心力，我的健康已受負面衝擊。」TreasuryONE分析師Andre Botha發表研究報告指出，內閣成員重新洗牌、再加上Hadebe辭職，導致南非幣面臨壓力。他認為，Hadebe請辭，會讓Eskom受到更進一步的檢視，不利南非幣。另外，內閣成員名單延後公布，也帶來不確定因素。＊編者按：本文僅供參考之用，並不構成要約、招攬或邀請、誘使、任何不論種類或形式之申述或訂立任何建議及推薦，讀者務請運用個人獨立思考能力，自行作出投資決定，如因相關建議招致損失，概與《精實財經媒體》、編者及作者無涉。MoneyDJ 新聞 2019-05-29 13:34:08 記者郭妍希 報導","https://blog.moneydj.com/news/2019/05/29/%e5%8d%97%e9%9d%9e%e5%b9%a3%e8%b2%b6%e9%80%be2%ef%bc%81%e6%96%b0%e5%85%a7%e9%96%a3%e5%bb%b6%e5%be%8c%e5%85%ac%e5%b8%83%e3%80%81%e5%9c%8b%e7%87%9f%e7%99%bc%e9%9b%bb%e5%bb%a0ceo%e8%ab%8b%e8%be%ad/"
"2019-05-24"," 南非幣三週低！南非央行砍通膨率預估值、暗示降息 ","南非幣週四(5月23日)在南非央行(SARB)按兵不動、但暗示要降息的衝擊下走貶，盤中貶幅一度超過1%。嘉實XQ全球贏家系統報價顯示，美元兌南非幣23日尾盤升值0.76%至14.4835，盤中最多一度上升1.12%至14.5357、創5月3日以來盤中高。路透社、Moneyweb等外電報導，SARB 23日決議將附買回利率(Repo Rate)維持在6.75%不變，但將2019年的經濟成長率預估值從原本的1.5%下修至1%。SARB總裁丹雅格(Lesetja Kganyago)說，通膨預期已來到10年以來的新低水位，央行希望看到通膨率能朝目標區間的中間值更靠近一些。他說，未來是否調整貨幣政策，端賴經濟數據的變化而定。SARB的通膨率目標區間為3-6%。南非4月份的通膨率下降至4.4%。SARB最新預測顯示，2019年消費者物價指數(CPI)成長率平均為4.5%，低於3月份估計的4.8%。另外，預估通膨率會在2020年上升至5.1%，2021年則將因食物、石油與薪資成本下降而減至4.6%。Investec Asset Management投資長Nazmeera Moola說，雖然SARB決定保持利率不變，但最新會後聲明比起3月顯然更偏鴿派。合理推論，除非南非幣嚴重走貶，否則SARB應該會在7月的貨幣政策會議上，將附買回利率調降一碼。＊編者按：本文僅供參考之用，並不構成要約、招攬或邀請、誘使、任何不論種類或形式之申述或訂立任何建議及推薦，讀者務請運用個人獨立思考能力，自行作出投資決定，如因相關建議招致損失，概與《精實財經媒體》、編者及作者無涉。MoneyDJ 新聞 2019-05-24 11:32:42 記者郭妍希     報導","https://blog.moneydj.com/news/2019/05/24/%e5%8d%97%e9%9d%9e%e5%b9%a3%e4%b8%89%e9%80%b1%e4%bd%8e%ef%bc%81%e5%8d%97%e9%9d%9e%e5%a4%ae%e8%a1%8c%e7%a0%8d%e9%80%9a%e8%86%a8%e7%8e%87%e9%a0%90%e4%bc%b0%e5%80%bc%e3%80%81%e6%9a%97%e7%a4%ba%e9%99%8d/"
"2019-05-13"," 南非幣跳升至3週高！執政黨贏得大選 惟得票率史上最差 ","南非執政黨非國大(African National Congress，簡稱ANC)雖僅慘贏全國大選，南非幣在上週五(5月10日)依舊出現超過1%的升幅。嘉實XQ全球贏家系統報價顯示，美元兌南非幣10日尾盤貶值1.36%至14.1579；盤中最低下滑至14.1287、創4月22日以來盤中低。路透社、華爾街日報等外電報導，南非獨立選舉委員會(Independent Electoral Commission)10日宣布，計票結果顯示，非國大在國會選舉的得票率來到58%，最大在野黨民主聯盟(Democratic Alliance，簡稱DA)得票率略多於20%，而主張激進社會主義的左翼政黨經濟自由戰士(Economic Freedom Fighters，簡稱EFF)，得票率則不到11%。TS Securities發表研究報告指出，南非幣在開始投票前就走揚，隨著結果日益明朗、南非幣也益發強勁。FXTM Research分析師Lukman Otunuga則說，市場期待中美能對貿易達成共識，也帶動南非幣上漲。另一方面，南非2026年到期的公債殖利率10日尾盤則下挫9個基點至8.460%。(註：債券價格與殖利率呈現反向走勢。)不過，非國大差點守不住關鍵的豪登省(兩大都城約翰尼斯堡、普利托利亞皆位於此地)，全國投票率也僅66%，是該黨有史來最差勁的選舉結果。這顯示非國大在提升黑人生活方面，遭遇重大挫敗。分析人士擔憂，南非總統拉馬福薩(Cyril Ramaphosa)接下來改革、振興經濟的能力，可能因此受到壓抑。不只如此，非國大黨內不滿拉馬福薩的人士，可能因此加大攻擊力道。前總統祖馬(Jacob Zuma)去(2018)年雖因涉貪黯然下台，在非國大仍坐擁龐大勢力。祖馬陣營除了為成員從濫用職權的指控中開脫之外，提出的國家成長前景也跟拉馬福薩完全不同。拉馬福薩跟祖馬勢力的爭鬥，對於政府是否要無償沒收白人土地、國有化南非央行(SARB)，將有決定性的影響。＊編者按：本文僅供參考之用，並不構成要約、招攬或邀請、誘使、任何不論種類或形式之申述或訂立任何建議及推薦，讀者務請運用個人獨立思考能力，自行作出投資決定，如因相關建議招致損失，概與《精實財經媒體》、編者及作者無涉。MoneyDJ 新聞 2019-05-13 07:56:07 記者郭妍希 報導","https://blog.moneydj.com/news/2019/05/13/%e5%8d%97%e9%9d%9e%e5%b9%a3%e8%b7%b3%e5%8d%87%e8%87%b33%e9%80%b1%e9%ab%98%ef%bc%81%e5%9f%b7%e6%94%bf%e9%bb%a8%e8%b4%8f%e5%be%97%e5%a4%a7%e9%81%b8-%e6%83%9f%e5%be%97%e7%a5%a8%e7%8e%87%e5%8f%b2%e4%b8%8a/"
"2019-05-10"," 專家稱央行買盤將支撐金價 南非黃金產量持續下滑 ","金拓新聞5月9日報導，國際金融公司（International Financial Corporation, IFC）投資長佩雷拉（Neil Pereira）表示，未來一年金價仍可望上漲，因有跡象顯示投資人重新擁抱黃金ETF（交易所交易基金），而包括中國大陸、俄羅斯、土耳其與印度等許多國家的央行也都持續在增加其黃金儲備。 大陸人民銀行本週公布的數據顯示，2019年4月，該行黃金儲備較前月的6,062萬盎司增加48萬盎司至6,110萬盎司（1,900.4公噸），這是人行連續第5個月增加黃金儲備，累計過去5個月來的黃金儲備共增加了57.85公噸。世界黃金協會（World Gold Council, WGC）的報告則表示，今年第一季，全球黃金ETF的持倉年增3%達到2,480.8公噸，主要是受到歐洲市場黃金ETF持倉年增12%至1,116.7公噸的帶動。 對於黃金市場供需的基本面，佩雷拉表示，雖然黃金市場一段時間以來供需基本平衡，但未來的長期產量仍有增長的潛力。世界黃金協會最新報告則表示，2019年第一季，全球黃金供應量較去年同期的1,153.1公噸略減至1,150.0公噸，其中礦產黃金產量較去年同期的843.3公噸增加1%至852.4公噸，黃金回收量則是較去年同期的274.6公噸增加5%至287.6公噸，金礦商的避險銷售較去年同期的35.2公噸降至10公噸。 主要產金國家之一的南非統計局5月9日公布的數據則是顯示，該國的黃金產量已經連續18個月較去年同期下滑。2019年3月，南非黃金產量年減17.7%。南非統計局並未公布實際的產量數據，僅公佈產量變動的百分比。2019年3月，南非礦業生產年減1.1%，為連續第5個月較去年同期下滑。 3月份南非礦業生產下滑主要是受到黃金產量減少的影響，為該月的礦業生產貢獻2.3個百分點的跌幅，鐵礦石、鉻礦以及鉑族金屬產量也都下滑，分別貢獻當月礦業生產0.2、0.3以及0.1個百分點的跌幅；產量增長則主要來自煤礦、銅礦、錳礦以及鎳礦，分別為當月礦業生產貢獻1.4、0.2、0.3以及0.2個百分點的漲幅。南非的礦業部門約佔該國國內生產總值（GDP）的7%。2018年，南非礦業生產年減2.0%。 ＊編者按：本文僅供參考之用，並不構成要約、招攬或邀請、誘使、任何不論種類或形式之申述或訂立任何建議及推薦，讀者務請運用個人獨立思考能力，自行作出投資決定，如因相關建議招致損失，概與《精實財經媒體》、編者及作者無涉。 MoneyDJ 新聞 2019-05-10 14:45:04 記者黃文章 報導","https://blog.moneydj.com/news/2019/05/10/%e5%b0%88%e5%ae%b6%e7%a8%b1%e5%a4%ae%e8%a1%8c%e8%b2%b7%e7%9b%a4%e5%b0%87%e6%94%af%e6%92%90%e9%87%91%e5%83%b9-%e5%8d%97%e9%9d%9e%e9%bb%83%e9%87%91%e7%94%a2%e9%87%8f%e6%8c%81%e7%ba%8c%e4%b8%8b%e6%bb%91/"
"2019-04-11"," 南非幣升破14、六週來首見！利差交易夯、美元兩週低 ","歐美央行的貨幣聲明仍偏鴿派，已開發國家殖利率直直落，促使資金湧進新興貨幣進行利差交易(carry trade)，也帶動南非幣升破14兌換一美元、為六週以來首見。嘉實XQ全球贏家系統報價顯示，美元兌南非幣10日尾盤挫貶1.22%至13.9097；盤中最低貶至13.8879、創2月27日以來盤中低。另一方面，美國核心通膨數據平緩、聯邦公開市場委員會(FOMC)貨幣政策會議紀錄重申鴿派立場，則帶動美元指數走跌。MoneyDJ iQuote報價顯示，追蹤美元兌6種主要貨幣一籃子匯價的ICE美元指數(US Dollar Index，簡稱DXY)10日終場下跌0.09%、收96.91點，創3月26日以來收盤低。路透社報導，Treasury One首席貨幣交易經紀人Wichard Cilliers說，本(4)月的利差交易非常活絡，外資大舉搶進南非債券，使得南非幣的走勢優於其他貨幣。不過，他警告，南非幣走揚是受到外部因素推動，漲勢恐難持久。信評機構穆迪(Moody`s)原本預定在3月29日公布南非主權債信評等最新評估報告，但該機構卻突然延後了報告公布時間，讓南非暫時躲過被降評至「垃圾」等級的命運。(相關文章見此)EWN 4月1日報導，南非商業聯盟(Busa)執行長Tanya Cohen說，穆迪決定維持南非信評及展望不變，意味著該機構仍抱持觀望態度。她認為，政府必須為國營企業提出可靠的重整方案、同時擬定成長計畫。已開發國家央行對升息的態度轉趨謹慎，促使不少投資人轉往利率較高的新興市場貨幣進行利差交易。華爾街日報4月8日報導，美國3個月存款利率目前只有2.6%，歐元區、日本甚至只有負利率，相較之下土耳其、俄羅斯的3個月存款利率則高達28%、7.9%。借出美元、買進土耳其資產的投資人期望，在不計匯率波動及轉帳成本的情況下，能於三個月內賺取超過25%的利差。俄羅斯、墨西哥等新興國家的貨幣，因今(2019)年油價走強而受惠。Haidar Capital Management創辦人兼投資長Said N. Haidar認為，俄羅斯盧布有望因強勁的油價、抱持鷹派政策的央行而持續受惠。他也相信，全球轉趨鴿派的央行，有望避免經濟趨緩得太快，讓今年成功帶來報酬的利差交易能延續下去。(全文見此)＊編者按：本文僅供參考之用，並不構成要約、招攬或邀請、誘使、任何不論種類或形式之申述或訂立任何建議及推薦，讀者務請運用個人獨立思考能力，自行作出投資決定，如因相關建議招致損失，概與《精實財經媒體》、編者及作者無涉。MoneyDJ 新聞 2019-04-11 10:12:52 記者郭妍希 報導","https://blog.moneydj.com/news/2019/04/11/%e5%8d%97%e9%9d%9e%e5%b9%a3%e5%8d%87%e7%a0%b414%e3%80%81%e5%85%ad%e9%80%b1%e4%be%86%e9%a6%96%e8%a6%8b%ef%bc%81%e5%88%a9%e5%b7%ae%e4%ba%a4%e6%98%93%e5%a4%af%e3%80%81%e7%be%8e%e5%85%83%e5%85%a9%e9%80%b1/"
"2019-04-01"," 穆迪未開鍘、南非暫躲過「垃圾」評級，南非幣反彈 ","信評機構穆迪(Moody`s)原本預定在上週五(3月29日)公布眾所矚目的南非主權債信評等最新評估，但該機構卻突然延後了報告公布時間，讓南非暫時躲過了被降評至「垃圾」等級的命運。南非幣應聲反彈。嘉實XQ全球贏家系統報價顯示，美元兌南非幣3月29日尾盤貶值0.95%至14.4616；4月1日開盤迄今最低又續貶1.08%至14.3050、創3月26日以來盤中低。路透社、Business Insider報導，穆迪僅宣布，南非主權債信評等的評估未更新，卻沒提供理由，大出市場意料之外。依據歐盟規定，穆迪雖會提供主權信評評估報告可能公布的日期，卻也有更改的權力。穆迪下一次公布評估的時間點落在11月份，但該機構隨時都可修改信評。目前穆迪對南非的外幣、本地債設定的信用評級都是「Baa3」，只比垃圾等級高出一級，展望為穩定。部分經濟學家擔憂，電力危機恐讓南非痛失投資等級，進而引發資本外逃、美元大舉流出。舉例來說，花旗集團世界公債指數(Citigroup World Government Bond Index)只涵蓋投資等級的債券。部分人士則較為樂觀，認為穆迪只會下修信評展望至「負向」。惠譽(Fitch Ratings)、標普(S&P Global)都已在前財長戈登(Pravin Gordhan)突然被解除官職之後，於2017年4月將南非信評降至垃圾。國營電力公司Eskom財務陷困境、供電量不足，使南非面臨好幾年來不曾出現過的嚴重限電危機。Eskom過去一週雖未執行輪流限電計畫，卻警告供電系統依舊不穩。南非即將在5月舉行國會選舉，總統拉馬福薩(Cyril Ramaphosa)屆時將嘗試扭轉日益下滑的民意支持。＊編者按：本文僅供參考之用，並不構成要約、招攬或邀請、誘使、任何不論種類或形式之申述或訂立任何建議及推薦，讀者務請運用個人獨立思考能力，自行作出投資決定，如因相關建議招致損失，概與《精實財經媒體》、編者及作者無涉。MoneyDJ 新聞 2019-04-01 07:19:03 記者郭妍希 報導","https://blog.moneydj.com/news/2019/04/01/%e7%a9%86%e8%bf%aa%e6%9c%aa%e9%96%8b%e9%8d%98%e3%80%81%e5%8d%97%e9%9d%9e%e6%9a%ab%e8%ba%b2%e9%81%8e%e3%80%8c%e5%9e%83%e5%9c%be%e3%80%8d%e8%a9%95%e7%b4%9a%ef%bc%8c%e5%8d%97%e9%9d%9e%e5%b9%a3%e5%8f%8d/"
"2019-03-29"," 南非幣創5個月低！SARB利率不變、下修今明兩年GDP ","南非央行(SARB)週四(3月28日)宣布將附買回利率(Repo Rate)維持在6.75%不變，一如市場原先預期，南非幣則在貶至五個月低點後收斂跌幅。嘉實XQ全球贏家系統報價顯示，美元兌南非幣28日尾盤升值0.04%至14.6001；盤中最高一度跳升1.06%至14.7483、創2018年11月1日以來盤中高。路透社、非洲通訊社(African News Agency)等外電報導，SARB 28日指出，按兵不動的決定獲得全體委員一致通過，通膨展望的風險大致來看相當平衡。這跟該行1月說的「通膨有溫和增溫風險」並不相同。SARB聲明內容改變，主要反映過去兩個月來，物價僅上升約4%，完全落在央行預設的3-6%目標區間之內。SARB總裁丹雅格(Lesetja Kganyago)28日在記者會上指出，電力供應受限、再加上企業信心疲弱，很可能會壓抑近期的生產和投資展望。他認為，國營電力公司Eskom調高電費，再加上燃料成本增加，會在未來幾個月帶來通膨壓力。另外，全球經濟成長比之前預期的還要疲弱，地緣政治風險、貿易關係緊繃、英國脫歐事件，是影響全球經濟的重大風險。南非2018年國內生產毛額(GDP)僅成長0.8%。SARB 28日將2019年的GDP成長率預估值從原先在1月預測的1.7%下修至1.3%，通膨率預估值則保持在4.8%不變。2020年的GDP成長率預估值則由2%下修至1.8%，2021年也從之前的2.2%下修至2%。＊編者按：本文僅供參考之用，並不構成要約、招攬或邀請、誘使、任何不論種類或形式之申述或訂立任何建議及推薦，讀者務請運用個人獨立思考能力，自行作出投資決定，如因相關建議招致損失，概與《精實財經媒體》、編者及作者無涉。MoneyDJ 新聞 2019-03-29 12:52:29 記者郭妍希 報導","https://blog.moneydj.com/news/2019/03/29/%e5%8d%97%e9%9d%9e%e5%b9%a3%e5%89%b55%e5%80%8b%e6%9c%88%e4%bd%8e%ef%bc%81sarb%e5%88%a9%e7%8e%87%e4%b8%8d%e8%ae%8a%e3%80%81%e4%b8%8b%e4%bf%ae%e4%bb%8a%e6%98%8e%e5%85%a9%e5%b9%b4gdp/"
"2019-03-28"," 南非幣1月低！土國打空軍 里拉隔夜交換利率飆至1200% ","土耳其即將在週日(3月30日)舉行關鍵的地方選舉，而為了捍衛匯價、土耳其政府指示國內銀行不得為做空的外國投資人提供里拉流動性，導致里拉隔夜交換利率暴衝、一度飆至1,200%。土耳其市場動盪，衝擊其他新興貨幣、南非幣也重貶至三個月低。CNBC、英國金融時報報導，土國週日舉行的地方選舉，被視為民眾對總統埃爾多安(Recep Tayyip Erdogan)施政結果的總評分，而里拉上週五(3月22日)跳空爆貶6.38%、創2018年夏季以來最大單日貶幅，埃爾多安認定應是外資從中搞鬼、3月24日還警告放空里拉的投機客會付出「沉痛代價」。為捍衛里拉，土國政府直接要求銀行限制離岸交換市場的里拉流動性，導致里拉隔夜交換利率爆衝至歷史高1,200%，不但較前日的325%狂增三倍，也遠多於上週的23%。土國以美元計價的10年期公債殖利率也在27日上衝至7.63%、相較之下上週初還只有7%。以里拉計價的10年期公債更在27日大增至18.1%，遠多於1月底的13.8%。(註：債券價格跟殖利率呈反向走勢。)躲避土國債券違約風險的五年期信用違約交換(Credit Default Swap，簡寫CDS)，也從上週末的352個基點膨脹至453個基點。與此同時，伊斯坦堡交易所100指數(Borsa Istanbul 100 index)27日則重挫5.67%，過去兩週以來共計大跌逾10%。Amundi新興市場債資深投資經理人Esther Law說，抑制里拉的放空活動，技術上雖能撐住匯價，但這無法解決問題、也對當地債市毫無益處。扼殺離岸交換市場，會讓外國投資人無法為里拉債券部位避險，這種行徑，根本是搬石頭砸自己的腳。土耳其的市場動盪，讓其他新興貨幣跟著受創，南非幣同步重貶。嘉實XQ全球贏家系統報價顯示，美元兌南非幣27日尾盤跳升1.23%至14.5940；盤中最高上升至14.6707、突破過去三週以來震盪區間的上緣，創下1月3日以來盤中高。路透社報導，市場擔憂，穆迪(Moody`s)可能會在本週五將南非主權債信評等調降至垃圾等級，南非幣接下來幾日的走勢將備受矚目。＊編者按：本文僅供參考之用，並不構成要約、招攬或邀請、誘使、任何不論種類或形式之申述或訂立任何建議及推薦，讀者務請運用個人獨立思考能力，自行作出投資決定，如因相關建議招致損失，概與《精實財經媒體》、編者及作者無涉。MoneyDJ 新聞 2019-03-28 10:49:50 記者郭妍希 報導","https://blog.moneydj.com/news/2019/03/28/%e5%8d%97%e9%9d%9e%e5%b9%a31%e6%9c%88%e4%bd%8e%ef%bc%81%e5%9c%9f%e5%9c%8b%e6%89%93%e7%a9%ba%e8%bb%8d-%e9%87%8c%e6%8b%89%e9%9a%94%e5%a4%9c%e4%ba%a4%e6%8f%9b%e5%88%a9%e7%8e%87%e9%a3%86%e8%87%b31200/"
