"Time","Title","Content","Url"
"2019-04-17"," 俄羅斯業者稱減產協議或應考慮設定油價目標指引 ","普氏能源資訊4月16日報導，俄羅斯西伯利亞石油公司（Gazprom Neft）第一副執行長雅科夫列夫（Vadim Yakovlev）表示，無論在任何情況下，石油輸出國組織及俄羅斯等其他參與減產協議的產油國（OPEC+）都應該繼續堅守減產協議。但他認為為了長遠的合作，OPEC+可以考慮列入油價目標的指引，這可以讓產油國家長期的生產目標有所依循。 雅科夫列夫指出，OPEC+應該設定一個長期的油價目標區間，作為啟動供需均衡機制的指標，一旦油價超過或者是跌破目標區間，OPEC+就可以進行增產或者減產來因應。雅科夫列夫表示，為OPEC+加入油價指標是作為業者的專業意見，但是否能夠獲得採納則有賴能源部長在了解多方意見之後做出綜合考量。 近期外界揣測俄羅斯的減產立場可能出現鬆動，俄羅斯財政部長謝魯阿諾夫（Anton Siluanov）13日表示，鑒於美國的產油持續增長，OPEC+有可能將會作出增產的決議來捍衛石油市場的份額。謝魯阿諾夫指出，一旦OPEC+進行增產，油價肯定將會下跌，石油市場的投資也將萎縮，率先受到衝擊的自然是生產成本更高的美國頁岩油生產商。他認為一旦減產協議終止，油價可能將跌至每桶40美元或更低，並持續一整年的時間，但他也表示現階段產油國並未有所決議。 俄羅斯總統普丁（Vladimir Putin）上週的談話有類似的觀點，他稱石油生產需要持續的投資，否則對俄羅斯本身或者是全球石油市場來說都會造成問題，這是在協調決定生產政策以前必須要考慮到的。雅科夫列夫表示，在當前的減產協議之下，該公司今年的原油產量預估將增長1.5%，油氣總產量預估增長3%；相比上月該公司執行長杜科夫（Alexander Dyukov）則是表示今年的原油產量將增長超過2%，油氣總產量增長超過3%。 美國能源部報告表示，2019年5月，美國頁岩油日產量預估將較4月的838萬桶增加8萬桶至846萬桶，持續創下紀錄新高。在三大頁岩油產地當中，二疊紀盆地原油日產量預估增加4.2萬桶至413.6萬桶，鷹堡頁岩原油日產量預估增加0.7萬桶至142.9萬桶，巴肯頁岩原油日產量預估增加1.1萬桶至138.5萬桶。美國頁岩氣日產量則預估較4月的789.3億立方英尺增加9億立方英尺至798.37億立方英尺。 MoneyDJ 新聞 2019-04-17 13:35:23 記者黃文章 報導","https://blog.moneydj.com/news/2019/04/17/%e4%bf%84%e7%be%85%e6%96%af%e6%a5%ad%e8%80%85%e7%a8%b1%e6%b8%9b%e7%94%a2%e5%8d%94%e8%ad%b0%e6%88%96%e6%87%89%e8%80%83%e6%85%ae%e8%a8%ad%e5%ae%9a%e6%b2%b9%e5%83%b9%e7%9b%ae%e6%a8%99%e6%8c%87%e5%bc%95/"
"2019-03-22"," 新興股市遭贖回、但或仍可期！俄股衝11個月高 ","新興市場翻紅，去年十月起持續吸金，但是新興股市強彈，晉身「最擁擠交易」，讓投資人轉為謹慎。部分人士指出，新興市場盈餘預期提高、美元走弱，或許有助新興市場後市。路透社報導，EPFR數據顯示，過去三週，新興市場股市基金遭贖回，顯示眾人對新興股市配置轉為保守。不過今年至今，新興市場仍淨吸金157億美元，表現優於已開發國家的淨失血618億美元。專家說，投資人記取先前教訓，小心看待本波漲勢。Renaissance Capital全球首席經濟學家Charles Robertson說，沒人開香檳慶祝，只希望今年有像樣表現。近來新興市場的股本回報率(return on equity)升至五年高，新興股市的預估本益比為11.6倍，比標普500指數低了30%。隨著美國減稅利多消退，美企盈餘展望料降，新興市場則有望續揚。今年新興市場盈餘估計將成長6.8%，高於美國。財富管理商Prime Partners投資長Francois Savary說，(新興市場)是經濟週期尾聲的適宜交易，同時也由於他們對美國經濟前景有疑慮。美銀美林先前訪調顯示，新興市場為最擁擠交易。但是本月最新訪調稱，做空歐股擠下新興市場，成為最擁擠交易，讓投資人略感安心，猜想仍未過熱。East Capital董事長兼財務長Peter Elam Hakansson看好巴西和俄羅斯。這兩國的盈餘年增率為新興國家之冠；與此同時，台灣、南韓受中美貿易戰衝擊，盈餘重挫。嘉實XQ全球贏家系統報價顯示，俄國以美元計價的RTS指數，週四(21日)上漲0.93%收1,237.68點，創2018年4月5日以來收盤新高。今年至今大漲15.81%。巴西Bovespa指數週四下跌1.34%收96,729.08點。週一(18日)收99,993.92點，創空前收盤新高。今年至今上漲10.06%。＊編者按：本文僅供參考之用，並不構成要約、招攬或邀請、誘使、任何不論種類或形式之申述或訂立任何建議及推薦，讀者務請運用個人獨立思考能力，自行作出投資決定，如因相關建議招致損失，概與《精實財經媒體》、編者及作者無涉。MoneyDJ 新聞 2019-03-22 11:44:29 記者陳苓 報導","https://blog.moneydj.com/news/2019/03/22/%e6%96%b0%e8%88%88%e8%82%a1%e5%b8%82%e9%81%ad%e8%b4%96%e5%9b%9e%e3%80%81%e4%bd%86%e6%88%96%e4%bb%8d%e5%8f%af%e6%9c%9f%ef%bc%81%e4%bf%84%e8%82%a1%e8%a1%9d11%e5%80%8b%e6%9c%88%e9%ab%98/"
"2019-03-13"," 《農產品》俄羅斯出口預期放緩 CBOT小麥漲逾5% ","芝加哥期貨交易所（CBOT）三大農產品期貨3月12日全面上漲，因美元下跌有利出口，且俄羅斯小麥出口預期放緩的影響。5月玉米期貨收盤上漲1%成為每英斗3.6575美元，5月小麥大漲5.7%成為每英斗4.53美元，5月黃豆上漲0.8%成為每英斗8.97美元。俄羅斯農業分析機構SovEcon最新報告預估，俄羅斯3月份小麥出口量將大幅下滑至7,720萬英斗，較本銷售年度前8個月的平均值減少42%。美國農業部報告此前也預估俄羅斯小麥出口將會放緩。美國洲際期貨交易所（ICE Futures U.S.）5月棉花期貨3月12日上漲2.3%成為每磅74.85美分，5月粗糖期貨上漲0.3%成為每磅12.33美分。 聯合國農產品市場資訊系統（Agricultural Market Information System, AMIS）報告表示，2019年全球小麥產量預估將較2018年的7.283億噸增加4%至7.574億噸，只較2017年創新高的7.594億噸產量略減200萬噸。其中，歐盟小麥產量預估將從去年創下6年新低的1.374億噸增加8.4%至1.49億噸，主要因為天氣情況有利以及種植面積預估將年增3%的影響。最大出口國俄羅斯小麥產量預估年增10%，同樣因為天氣有利以及種植面積的增加。澳洲擺脫去年的嚴重乾旱之後，小麥產量預估將年增4成至2,400萬噸。 歐盟執委會3月11日公佈的數據顯示，歐盟上週小麥出口量較前週修正後的338,208公噸減少至268,488公噸，自去年7月起的2018/19銷售年度至今，歐盟小麥出口量年減11%至12,531,402公噸。歐盟上週玉米出口量較前週修正後的68,008公噸減少至9,365公噸，本銷售年度至今的玉米出口量則是年增73%至1,528,594公噸。歐盟上週黃豆進口量從前週修正後的343,030公噸減少至216,616公噸，累計本銷售年度至今的黃豆進口量年增11%至9,927,328公噸。 美國農業部出口檢定報告顯示，截至3月7日當週，美國玉米出口較前週減少，黃豆與小麥則是增加。美國玉米一週出口檢定量為765,618公噸，佔穀物出口總量的33%；較前週減少12%，較上年同期減少44%，主要出口市場為日本（319,452公噸）與墨西哥（208,901公噸）。自去年9月起的2018/19年度，美國玉米出口檢定量年增31%至26,563,990公噸，達成美國農業部本月下修190萬噸預估出口量6,033萬噸的44%。上年度，美國玉米出口僅年增1%至5,770萬噸。 美國黃豆截至3月7日為止的一週出口檢定量為874,363公噸，佔穀物出口總量的38%；較前週增加3%，較上年同期減少6%，最大出口市場為中國大陸（386,581公噸），佔當週出口量的44%比重。自去年9月起的2018/19年度，美國黃豆出口檢定量年減32%至26,832,281公噸，達成美國農業部預估出口量5,103萬噸的52%；相比上年度美國黃豆出口檢定量為年減3%至5,630萬噸。 自去年6月起的2018/19年度，美國小麥一週出口檢定量為592,001公噸，佔穀物出口總量的26%；較前週增加21%，較上年同期增加38%，最大出口市場為印尼（151,818公噸）。自去年6月起的2018/19年度，美國小麥出口檢定量累計為17,602,154公噸，較上年同期減少6%，達成美國農業部本月下修96萬噸預估出口量2,626萬噸的67%。 ＊編者按：本文僅供參考之用，並不構成要約、招攬或邀請、誘使、任何不論種類或形式之申述或訂立任何建議及推薦，讀者務請運用個人獨立思考能力，自行作出投資決定，如因相關建議招致損失，概與《精實財經媒體》、編者及作者無涉。 MoneyDJ 新聞 2019-03-13 07:34:43 記者黃文章     報導","https://blog.moneydj.com/news/2019/03/13/%e3%80%8a%e8%be%b2%e7%94%a2%e5%93%81%e3%80%8b%e4%bf%84%e7%be%85%e6%96%af%e5%87%ba%e5%8f%a3%e9%a0%90%e6%9c%9f%e6%94%be%e7%b7%a9-cbot%e5%b0%8f%e9%ba%a5%e6%bc%b2%e9%80%be5/"
"2019-03-08"," 阿里巴巴拓俄羅斯市場 推中國品牌汽車網路購車服務 ","新華社報導，大陸阿里巴巴旗下跨境電商零售平台「全球速賣通」日前在俄羅斯正式推出網路購車服務，此舉將為俄羅斯消費者提供線上線下聯動的新型購車模式，也將助力中國大陸汽車品牌進一步走向俄羅斯市場。阿里巴巴表示，首個透過速賣通出售的汽車品牌為中國自主汽車品牌奇瑞，俄羅斯民眾可透過奇瑞在速賣通開設的旗艦店購買奇瑞瑞虎多款整車，還可以購買配件、裝飾等相關產品。阿里巴巴全球速賣通俄羅斯業務負責人劉威指出，去(2018)年「雙11」，俄羅斯市場上汽車產品銷售額是平常的20倍，俄羅斯民眾對汽車及周邊產品的購物需求正不斷成長。據瞭解，俄羅斯消費者可直接在速賣通一鍵下單，支付預付款，到選定的線下門市支付尾款後即可提車。劉威表示，透過速賣通展開網路購車，還可有效解決中國自主汽車品牌因海外渠道不足造成的維修配件供給難問題；結合阿里巴巴的海外倉儲布局，可大幅減少自主品牌車企在海外供應鏈端的資金投入，提高供應鏈回應速度。據瞭解，速賣通還計畫引入更多的中國自主汽車品牌到線上售車專案中。MoneyDJ 新聞 2019-03-08 12:58:57 記者新聞中心 報導","https://blog.moneydj.com/news/2019/03/08/%e9%98%bf%e9%87%8c%e5%b7%b4%e5%b7%b4%e6%8b%93%e4%bf%84%e7%be%85%e6%96%af%e5%b8%82%e5%a0%b4-%e6%8e%a8%e4%b8%ad%e5%9c%8b%e5%93%81%e7%89%8c%e6%b1%bd%e8%bb%8a%e7%b6%b2%e8%b7%af%e8%b3%bc%e8%bb%8a%e6%9c%8d/"
"2019-03-05"," 控美先違約！普丁簽退《中程導彈條約》 軍備競賽蠢動 ","在美國總統川普(Donald Trump)去(2018)年12月正式宣布退出美、蘇在1987年冷戰時期簽署的《中程導彈條約》(Intermediate-Range Nuclear Forces Treaty，簡稱INF)之後，俄羅斯總統普丁(Vladimir Putin)本週一(3月4日)也簽署行政命令、不再遵守條約。克里姆林宮4日發布新聞稿宣布，由於美方違約的關係，普丁總統已簽署行政命令，俄羅斯將暫停遵守美國、蘇聯於1987年12月8日簽定的INF條約，直到美國修正其違約行徑、或者條約過期為止。華爾街日報、華盛頓觀察家報(Washington Examiner)等外電報導，華盛頓之前控訴，俄國測試了能夠攜帶核武的「9M729」導彈、等同違反INF，但克里姆林宮對於此隻字未提。普丁先前曾警告，INF條約瓦解，恐引發新一波的軍備競賽。俄國國防部今年稍早已宣布要研發最新導彈系統，當中會包括一款超音速長程火箭。不過，美國國防預算是俄羅斯的數倍高，莫斯科當局並不想跟美國進行長時間的軍備競賽。川普先前曾透露，美方單方面退出INF、有部分是要因應中國囤積的大量短中程飛彈。或許美、俄可另外簽定非佈署協議，以防兩國陷入軍備惡鬥，美方在中國附近佈署時，也有給予俄國安全保證的空間。美聯社、CNN等外電報導，美國、蘇聯1987年簽署的INF，被視為冷戰即將結束時期的分水嶺，依據這項條約，美蘇兩國移除了數千顆射程在300~3,400英里之間的地面發射導彈。相較之下，中國軍隊卻從1987年起展開大規模的現代化行動，為了購置新武器、北京投入大批資金，其中一項投資重點，就是導彈研發行動。美國資深將領先前就透露，假如中國加入INF，其2,000枚彈道與巡弋飛彈中，將有高達95%不符規定。阿肯薩斯州參議員Tom Cotton先前曾指出，中國是美國應該退出INF的原因之一。中國不受INF限制、毫無顧忌地囤積大批飛彈，他早就要美國當局重新考慮，INF是否符合國家利益。(相關文章見此)＊編者按：本文僅供參考之用，並不構成要約、招攬或邀請、誘使、任何不論種類或形式之申述或訂立任何建議及推薦，讀者務請運用個人獨立思考能力，自行作出投資決定，如因相關建議招致損失，概與《精實財經媒體》、編者及作者無涉。MoneyDJ 新聞 2019-03-05 15:15:34 記者郭妍希 報導","https://blog.moneydj.com/news/2019/03/05/%e6%8e%a7%e7%be%8e%e5%85%88%e9%81%95%e7%b4%84%ef%bc%81%e6%99%ae%e4%b8%81%e7%b0%bd%e9%80%80%e3%80%8a%e4%b8%ad%e7%a8%8b%e5%b0%8e%e5%bd%88%e6%a2%9d%e7%b4%84%e3%80%8b-%e8%bb%8d%e5%82%99%e7%ab%b6%e8%b3%bd/"
"2019-02-06"," 平衡原油市場 沙烏地阿拉伯等產油國尋求與俄羅斯形成正式合作關係 ","《華爾街日報》援引OPEC官員稱，沙烏地阿拉伯阿拉伯及其波斯灣盟國支持與俄羅斯領導的10國集團建立正式合作夥伴關係，試圖管理全球石油市場，該聯盟將改變OPEC。一些石油輸出國組織官員表示，此舉將有助於提高石油價格，因為OPEC正面臨來自美國總統川普保持低價的壓力。目前，美國頁岩油生產商的產量增加正降低OPEC對市場的影響力。OPEC的提案將正式確定OPEC成員國與俄羅斯領導的集團之間的鬆散聯盟。這兩個團體近年來越來越多地合作。據卡特爾官員稱，伊朗和其他生產商反對更緊密的夥伴關係，擔心新的聯盟可能由沙烏地阿拉伯阿拉伯和俄羅斯主導。沙烏地阿拉伯和俄羅斯是世界上最大的兩個石油出口國。官員們表示，OPEC成員國和俄羅斯領導的集團將於2月18日在維也納舉行會議。部長們希望雙方能在4月會面時達成最終協議。任何正式的沙烏地阿拉伯、俄羅斯合作都有利於將油價從目前大約每桶60美元的水平提升。沙烏地阿拉伯想要財政平衡，油價必須高於每桶80美元。今日，油價下跌。WTI 3月原油期貨收跌0.90美元，跌幅1.65%，報53.66美元/桶。布蘭特4月原油期貨收跌0.53美元，跌幅0.85%，報61.98美元/桶。(新聞來源:華爾街見聞)","https://blog.moneydj.com/news/2019/02/06/%e5%b9%b3%e8%a1%a1%e5%8e%9f%e6%b2%b9%e5%b8%82%e5%a0%b4-%e6%b2%99%e7%83%8f%e5%9c%b0%e9%98%bf%e6%8b%89%e4%bc%af%e7%ad%89%e7%94%a2%e6%b2%b9%e5%9c%8b%e5%b0%8b%e6%b1%82%e8%88%87%e4%bf%84%e7%be%85%e6%96%af/"
"2019-01-28"," 去美元化 俄羅斯鼓勵投資人購買本國黃金來取代美元 ","金拓新聞（Kitco News）1月27日報導，莫斯科交易所執行長阿法納西耶夫（Alexander Afanasiev）在國會備詢時鼓勵民眾投資俄羅斯黃金來取代美元，稱以前會有一些非常保守的投資人購買美元來作為保值，但他鼓勵這些人應該購買俄羅斯黃金，因俄羅斯本身就是全球第三大的黃金生產國。 俄羅斯央行應該是俄羅斯黃金的最大支持者，去年俄羅斯央行黃金儲備的增長創新高達到880萬盎司或273.7公噸，相比2018年1-10月俄羅斯黃金產量為850萬盎司或265公噸，俄羅斯央行的黃金儲備多數都從國內購買。 不過，專家認為在俄羅斯投資黃金未必能取代美元。資產管理公司Prosperity Capital Management的金屬和礦業主管索斯諾維斯基（Nikolai Sosnovsky）表示，黃金沒有美元那樣的流動性，用黃金結算對個人投資者來說不方便，俄羅斯也欠缺金融工具投資貴金屬，還要面對並不友好的開戶條件和實物黃金增值稅。 俄羅斯去年超越中國大陸成為全球第五大的黃金儲備國，部分要歸功於美國的制裁。生產商表示，俄羅斯央行近年持續增加黃金儲備，主要因為黃金儲備不會被凍結也不會成為黑名單。不過，這只適用於產金大國的俄羅斯，媒體報導，美國拒絕承認委內瑞拉現任總統馬杜羅（Nicolas Maduro）政權，並阻止馬杜羅政權提領存放在英國央行的黃金。 加拿大道明證券（TD Securities）全球商品策略主管梅萊克（Bart Melek）表示，全球央行的黃金儲備從2009年的低點以來，累計已經增加了13%或3,900公噸，並預期未來兩年還將再增加800公噸，最積極增加黃金儲備的國家包括了俄羅斯、土耳其、哈薩克、印度以及中國等。梅萊克指出，當前全球央行的外匯儲備當中，美元仍佔據了超過60%的比重，而各國央行想要多元化外匯儲備的野心，就成為其持續增加黃金儲備的一大理由。 全球金礦產量的增長預期將會放緩，主要因為欠缺投資以及新發現的金礦越來越少的影響。報告指出，過去兩年全球金礦產業主要都聚焦在財務的改善上面，包括改善資產負債表、優化資產、提高資本投資報酬率以及股東報酬率等，許多的金礦開發項目則是遭到推遲，這導致未來十年金礦產量的增長預期進一步下修。而雖然近期一些大型金礦商的併購活動已經展開，但歷史經驗顯示，全球金礦產量要恢復正常的增長軌道將會需要更長的時間。 MoneyDJ 新聞 2019-01-28 11:34:37 記者黃文章     報導","https://blog.moneydj.com/news/2019/01/28/%e5%8e%bb%e7%be%8e%e5%85%83%e5%8c%96-%e4%bf%84%e7%be%85%e6%96%af%e9%bc%93%e5%8b%b5%e6%8a%95%e8%b3%87%e4%ba%ba%e8%b3%bc%e8%b2%b7%e6%9c%ac%e5%9c%8b%e9%bb%83%e9%87%91%e4%be%86%e5%8f%96%e4%bb%a3%e7%be%8e/"
"2019-01-24"," 俄羅斯稱原油價格戰無益 打擊頁岩油將損人不利己 ","路透社1月23日報導，俄羅斯主權財富基金–俄羅斯直接投資基金（Russian Direct Investment Fund, RDIF）執行長德米特里夫（Kirill Dmitriev）在瑞士達沃斯舉行的世界經濟論壇上表示，即使減產可能導致俄羅斯原油的市佔下滑，俄羅斯也不應該對美國頁岩油採取競爭行為如發動價格戰等，因這也會損害到俄羅斯的經濟。德米特里夫指出，如果要在價格上擊垮頁岩油，則油價需要跌到每桶40美元以下，而這對俄羅斯經濟顯然不利。美國當前原油日產量接近1,200萬桶，已經是最大的產油國。 俄羅斯總統普丁（Vladimir Putin）去年底曾表示對每桶60美元的油價感到滿意，稱該國去年的預算只需要40美元的油價就能夠達成平衡，2019年也只需要每桶43美元的油價即可平衡。另一方面，分析師則認為沙烏地阿拉伯需要每桶80美元的油價才能夠平衡預算，華爾街日報此前也引述來自石油輸出國組織（OPEC）官員的消息來源稱，沙國目標是將油價拉抬至每桶80美元以上。 美國頁岩油產量持續創下新高，但增長速度或有放慢。美國能源部報告表示，2019年2月，美國七大頁岩層的原油日產量預估將較1月的811.7萬桶增加6.2萬桶至817.9萬桶，持續創下紀錄新高，約佔美國當前原油日產量的七成比重。其中，二疊紀盆地原油日產量預估增加2.3萬桶至385.4萬桶，此將創下2016年9月以來的最低增長；鷹堡頁岩原油日產量預估增加1.1萬桶至143.8萬桶，巴肯頁岩原油日產量預估增加0.9萬桶至141.8萬桶。 大陸三大石油公司之一的中國海洋石油有限公司1月23日表示，2019年，該公司將有包含美國墨西哥灣、奈及利亞、中國內地等在內的6個新項目投產。中海油財務長謝尉志表示，中海油2018年的淨產量預計將達到約4.75億桶油當量，2019年的淨產量目標為4.80至4.90億桶油當量，其中國內產量約佔63%、海外約佔37%。2020年和2021年，該公司的淨產量目標分別為5.05至5.15億桶油當量和535至545百萬桶油當量。 2019年，中海油將有6個新項目投產。其中，奈及利亞的Egina油田和中國海域的惠州32-5油田綜合調整/惠州33-1油田聯合開發項目已投產，美國墨西哥灣的Appomattox項目以及中國海域的渤中34-9油田、曹妃甸11-1/11-6油田綜合調整項目和文昌13-2油田綜合調整項目將於年內按計劃投產。Appomattox項目中海油佔有21%的權益，該項目為超深水海上開發項目，水深約2,200公尺，高峰產量預計達每日17.5萬桶，Egina油田則預計高峰產量可達每日20萬桶。 ＊編者按：本文僅供參考之用，並不構成要約、招攬或邀請、誘使、任何不論種類或形式之申述或訂立任何建議及推薦，讀者務請運用個人獨立思考能力，自行作出投資決定，如因相關建議招致損失，概與《精實財經媒體》、編者及作者無涉。 MoneyDJ 新聞 2019-01-24 10:19:26 記者黃文章 報導","https://blog.moneydj.com/news/2019/01/24/%e4%bf%84%e7%be%85%e6%96%af%e7%a8%b1%e5%8e%9f%e6%b2%b9%e5%83%b9%e6%a0%bc%e6%88%b0%e7%84%a1%e7%9b%8a-%e6%89%93%e6%93%8a%e9%a0%81%e5%b2%a9%e6%b2%b9%e5%b0%87%e6%90%8d%e4%ba%ba%e4%b8%8d%e5%88%a9%e5%b7%b1/"
"2019-01-21"," 俄羅斯黃金儲備去年大增880萬盎司 成第五大儲備國 ","塔斯社報導，俄羅斯央行1月18日公布的數據顯示，2018年底，俄羅斯黃金儲備達到創新高的2,100公噸或6,790萬盎司，也成為全球第五大的黃金儲備國，僅次於美國、德國、義大利與法國。去年全年，俄羅斯央行黃金儲備的增長也同樣創新高達到880萬盎司或273.7公噸，相比2016以及2017年，俄羅斯黃金儲備分別增加了640萬盎司與720萬盎司。2018年底，俄羅斯央行的外匯儲備為4,685億美元，其中黃金儲備為869億美元，佔外匯儲備的18.5%比重。 路透社報導，俄羅斯去年超越中國大陸成為全球第五大的黃金儲備國，可能要歸功於美國的制裁。去年四月，美國以干涉美國大選為由，對多個俄羅斯企業以及個人進行制裁，是2014年俄羅斯入侵克里米亞以來最嚴厲的制裁。雖然過去十年以來俄羅斯的黃金儲備都在增長，但從增長速度來看，2014年美國對俄制裁之後，俄羅斯黃金儲備的增加幅度就更加明顯。大陸央行本月稍早公布的數據也顯示，其黃金儲備兩年多來首度增加，從5,920萬盎司增加至5,960萬盎司。 俄羅斯也是全球第三大的黃金生產國，俄羅斯央行的黃金儲備增加多數是從國內的生產商購得，根據俄羅斯財政部的最新數據，2018年1-10月，俄羅斯黃金產量為850萬盎司或265公噸。俄羅斯黃金生產商聯盟此前預估2018年俄羅斯黃金產量將年增3%，相比2017年年增6%的增速有所滑落。生產商表示，俄羅斯央行近年持續增加黃金儲備，主要因為黃金儲備不會被凍結也不會成為黑名單。 加拿大道明證券（TD Securities）全球商品策略主管梅萊克（Bart Melek）表示，全球央行的黃金儲備從2009年的低點以來，累計已經增加了13%或3,900公噸，並預期未來兩年還將再增加800公噸，最積極增加黃金儲備的國家包括了俄羅斯、土耳其、哈薩克、印度以及中國等。梅萊克指出，當前全球央行的外匯儲備當中，美元仍佔據了超過60%的比重，而各國央行想要多元化外匯儲備的野心，就成為其持續增加黃金儲備的一大理由。而未來，央行黃金儲備增長的空間還有很多，因目前黃金只佔全球央行外匯儲備的約10%左右。 ＊編者按：本文僅供參考之用，並不構成要約、招攬或邀請、誘使、任何不論種類或形式之申述或訂立任何建議及推薦，讀者務請運用個人獨立思考能力，自行作出投資決定，如因相關建議招致損失，概與《精實財經媒體》、編者及作者無涉。 MoneyDJ 新聞 2019-01-21 13:28:23 記者黃文章 報導","https://blog.moneydj.com/news/2019/01/21/%e4%bf%84%e7%be%85%e6%96%af%e9%bb%83%e9%87%91%e5%84%b2%e5%82%99%e5%8e%bb%e5%b9%b4%e5%a4%a7%e5%a2%9e880%e8%90%ac%e7%9b%8e%e5%8f%b8-%e6%88%90%e7%ac%ac%e4%ba%94%e5%a4%a7%e5%84%b2%e5%82%99%e5%9c%8b/"
"2018-12-28"," 俄羅斯願與OPEC合作，但不太可能組織化 ","俄羅斯與石油輸出國組織（OPEC）合計占全球石油產出的四成，兩者合作關係是否會組織化、建立更大石油壟斷集團，俄羅斯能源部長諾瓦克(Alexander Novak)周四表示不大可能。路透社報導，諾瓦克指出原因在於成立聯合組織會製造更多繁文縟節，且可能招致美國反壟斷相關制裁，他不認為非OPEC產油國想被制裁。諾瓦克說與未來會持續與OPEC合作，但不會成立新組織，這是所有人的共識。能源專家Ellen Wald對此表示，現況對俄羅斯有利，臨時性合作協議比較符合俄羅斯的利益。（axios.com）另外，俄羅斯也比沙烏地阿拉伯更能容忍油價起伏，原因之一是俄羅斯貨幣採浮動匯率制，可隨油價貶值，對油商形成緩衝。據Oilprice.com報導，沙烏地阿拉伯需要油價維持在84美元左右，才能平衡政府預算支出，對照俄羅斯只需要42美元，俄羅斯第一副總理西盧安諾夫（Anton Siluanov）日前受訪時如此表示。西盧安諾夫還補充說，油價可能在40-50美元區間震盪一斷時間，但預料不會持續太久，但即使油價持續低迷，俄羅斯擁有充足外匯儲備支撐，將不會受太大影響。＊編者按：本文僅供參考之用，並不構成要約、招攬或邀請、誘使、任何不論種類或形式之申述或訂立任何建議及推薦，讀者務請運用個人獨立思考能力，自行作出投資決定，如因相關建議招致損失，概與《精實財經媒體》、編者及作者無涉。MoneyDJ 新聞 2018-12-28 10:45:06 記者陳瑞哲 報導","https://blog.moneydj.com/news/2018/12/28/%e4%bf%84%e7%be%85%e6%96%af%e9%a1%98%e8%88%87opec%e5%90%88%e4%bd%9c%ef%bc%8c%e4%bd%86%e4%b8%8d%e5%a4%aa%e5%8f%af%e8%83%bd%e7%b5%84%e7%b9%94%e5%8c%96/"
